smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-926592700.73,4994542.09383,-925537991.679,-922377051.549,-932917768.014,-932219305.237,-922442688.895,4.0,24945450727000.0,0.00779765499392,108,0.249546279492,0.124990974078,0.249996693157,1.7334191682000001e-13
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-939709159.356,2698513.63204,-940144374.774,-936031507.2,-942516380.677,-942186880.233,-936622136.895,4.0,7281975822320.0,0.00782601010299,81,0.125226860254,0.249981948155,0.249996693157,1.7334191682000001e-13
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-943250488.797,3580698.39846,-943590459.554,-938690297.926,-947130738.155,-946763374.031,-939261644.504,4.0,12821401020700.0,0.00782621714084,119,0.250453720508,0.124990974078,0.250003306843,1.7334191682000001e-13
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-958149122.305,3832718.23731,-958323529.804,-953407642.965,-962541786.647,-962067481.958,-953986592.154,4.0,14689729086600.0,0.00391289118068,76,0.125226860254,0.249981948155,0.124994709051,1.7334191682000001e-13
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-959894236.789,2512014.66127,-960581143.174,-956290197.714,-962124463.093,-961909384.862,-956917419.777,4.0,6310217658440.0,0.0155957225633,92,0.249546279492,0.249981948155,0.250003306843,1.7334191682000001e-13
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1009155158.8,5513056.47939,-1010658997.71,-1001698028.96,-1013604610.83,-1013518555.2,-1002686387.94,4.0,30393791745000.0,0.00779786128164,113,0.249546279492,0.124990974078,0.250003306843,1.7334191682000001e-13
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1020014166.64,5950288.98479,-1018007067.31,-1015419390.24,-1028623141.68,-1027212425.67,-1015625846.65,4.0,35405939002600.0,0.00391311892231,124,0.250453720508,0.124990974078,0.125001984106,1.7334191682000001e-13
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1023396404.19,1617360.3292,-1023550821.4,-1021377791.82,-1025106182.15,-1024967849.33,-1021608774.97,4.0,2615854434470.0,0.00782621714084,86,0.125226860254,0.249981948155,0.250003306843,1.7334191682000001e-13
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1036105021.97,3449833.48033,-1037027000.21,-1031211735.87,-1039154351.58,-1038927794.46,-1031991479.93,4.0,11901351042000.0,0.00779788191041,97,0.249546279492,0.249981948155,0.125001984106,1.7334191682000001e-13
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1061098811.51,2269808.04233,-1060566815.33,-1059115004.07,-1064146611.3,-1063746523.38,-1059195894.28,4.0,5152028549030.0,0.00389871403872,102,0.249546279492,0.124990974078,0.124994709051,1.7334191682000001e-13
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1084470882.43,3736303.35407,-1084479353.66,-1080674298.53,-1088250523.87,-1088069913.35,-1080859991.78,4.0,13959962753700.0,0.00779765499392,107,0.249546279492,0.124990974078,0.249996693157,1.7334191682000001e-13
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1092440703.85,1998122.70397,-1092986841.58,-1089779900.52,-1094009231.73,-1093999779.28,-1090117035.61,4.0,3992494340130.0,0.00779786128164,118,0.249546279492,0.124990974078,0.250003306843,1.7334191682000001e-13
