npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-ft_capacity,PointProbability,ProbabilityWeight-htse_capacity,prefix
522.0,-413.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,436589903.772,83562.0072838,436589903.772,436648991.034,436530816.51,436536725.236,436643082.307,2.0,6982609061.3,0.250009196248,0.0155839065661,0.25,1.0406674226900002e-12,0.249333333333,87
522.0,-132.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,429630448.981,112246.983676,429630448.981,429709819.585,429551078.378,429559015.438,429701882.524,2.0,12599385344.4,0.125004598124,0.00195882090326,0.125026522385,1.0406674226900002e-12,0.125333333333,125
522.0,-226.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,410600808.094,3074857.51067,410600808.094,412775060.691,408426555.497,408643980.757,412557635.431,2.0,9454748710930.0,0.250009196248,0.00783528361303,0.125026522385,1.0406674226900002e-12,0.250666666667,114
522.0,-413.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,405977364.071,1408730.02143,405977364.071,406973486.622,404981241.52,405080853.775,406873874.367,2.0,1984520273270.0,0.250009196248,0.0155839065661,0.25,1.0406674226900002e-12,0.249333333333,92
522.0,-226.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,382957286.129,1768618.77142,382957286.129,384207888.455,381706683.802,381831744.035,384082828.223,2.0,3128012358620.0,0.250009196248,0.00783528361303,0.125026522385,1.0406674226900002e-12,0.250666666667,119
522.0,-507.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,379630615.854,486505.622991,379630615.854,379974627.279,379286604.428,379321005.571,379940226.136,2.0,236687721202.0,0.249990803752,0.00783304518423,0.25,1.0406674226900002e-12,0.125333333333,81
522.0,-413.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,378814774.767,375670.199241,378814774.767,379080413.713,378549135.822,378575699.716,379053849.818,2.0,141128098598.0,0.125004598124,0.00779195328306,0.25,1.0406674226900002e-12,0.249333333333,97
522.0,-226.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,352665511.515,2113660.05736,352665511.515,354160094.875,351170928.155,351320386.491,354010636.539,2.0,4467558838090.0,0.125004598124,0.00391764180651,0.125026522385,1.0406674226900002e-12,0.250666666667,124
522.0,-507.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,351296729.607,34754.0696689,351296729.607,351321304.446,351272154.769,351274612.253,351318846.962,2.0,1207845358.55,0.124986205628,0.00391623444301,0.25,1.0406674226900002e-12,0.125333333333,76
522.0,-320.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,348918564.568,1162549.81396,348918564.568,349740611.425,348096517.711,348178722.397,349658406.74,2.0,1351522069930.0,0.249990803752,0.00779303321812,0.125026522385,1.0406674226900002e-12,0.249333333333,108
522.0,-507.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,348593249.409,2695472.10159,348593249.409,350499236.011,346687262.808,346877861.468,350308637.351,2.0,7265569850460.0,0.250009196248,0.00783362148244,0.25,1.0406674226900002e-12,0.125333333333,86
522.0,-320.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,344279947.194,338997.166712,344279947.194,344519654.389,344040239.999,344064210.718,344495683.67,2.0,114919079039.0,0.124986205628,0.00389622993185,0.125026522385,1.0406674226900002e-12,0.249333333333,103
522.0,-320.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,322044566.538,1428340.42286,322044566.538,323054555.737,321034577.339,321135576.259,322953556.817,2.0,2040156363580.0,0.250009196248,0.00779360657253,0.125026522385,1.0406674226900002e-12,0.249333333333,113
