smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,PointProbability,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-542705328.3,4706228.44475,-543154649.501,-536942705.322,-547569308.877,-547228401.581,-537553205.338,4.0,22148586174200.0,0.249999055196,4.95258127397e-14,56,0.250018051845,0.125226860254,0.00782721432901
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-555708773.053,6801415.54235,-554204865.003,-549386336.847,-565039025.36,-563699048.773,-549823968.603,4.0,46259253379800.0,0.125000566882,4.95258127397e-14,73,0.250018051845,0.249546279492,0.00779891969886
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-593868994.088,34097787.9851,-585111220.312,-565388391.542,-639865144.186,-633793931.883,-566204939.579,4.0,1162659145470000.0,0.250000944804,4.95258127397e-14,67,0.250018051845,0.249546279492,0.0155978276082
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-605522770.212,5284925.10237,-607029520.576,-598101745.747,-609930293.949,-609726412.493,-599209677.421,4.0,27930433337600.0,0.250000944804,4.95258127397e-14,61,0.250018051845,0.125226860254,0.00782727349068
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-612881421.263,7053724.47888,-612689734.964,-606642974.323,-619503240.8,-619345668.487,-606685534.856,4.0,49755029024000.0,0.124998488314,4.95258127397e-14,51,0.250018051845,0.125226860254,0.00391357462558
720.0,-154.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-637392574.507,11612435.1607,-641074917.547,-620612474.512,-646807988.422,-646232729.125,-623397139.633,4.0,134848650362000.0,0.250000944804,4.95258127397e-14,90,0.249981948155,0.125226860254,0.00782614319848
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-690140229.352,19061947.218,-689242470.692,-670160875.144,-711915100.879,-710069952.701,-671467368.126,4.0,363357831743000.0,0.125000566882,4.95258127397e-14,72,0.250018051845,0.249546279492,0.00779891969886
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-693223246.581,12734397.43,-689608987.9,-683250345.166,-710424665.356,-708157585.613,-683348869.701,4.0,162164877906000.0,0.124998488314,4.95258127397e-14,79,0.249981948155,0.250453720508,0.0078260189769
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-695519774.384,25399797.0988,-684870917.363,-679010394.607,-733326868.205,-726333364.697,-679614583.901,4.0,645149692658000.0,0.250000944804,4.95258127397e-14,66,0.250018051845,0.125226860254,0.00782727349068
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-696277266.258,24038764.6577,-694139792.692,-673979119.181,-722850360.466,-720965038.142,-674581957.365,4.0,577862206267000.0,0.249999055196,4.95258127397e-14,84,0.249981948155,0.250453720508,0.0156521680907
