smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-373553356.388,7299373.31335,-376399938.28,-362772099.506,-378641449.488,-378435658.308,-364685839.82,4.0,53280850767700.0,1.7334191682000001e-13,98,0.125001984106,0.00779788191041,0.249546279492,0.249981948155
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-375800330.468,6811604.9838,-374659872.596,-369043452.211,-384838124.471,-383634069.339,-369563232.62,4.0,46397962455300.0,1.7334191682000001e-13,93,0.250003306843,0.0155957225633,0.249546279492,0.249981948155
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-382143342.551,2325345.74331,-381737267.066,-380057786.368,-385041049.704,-384733600.864,-380121589.917,4.0,5407232825930.0,1.7334191682000001e-13,83,0.249996693157,0.0155953099878,0.249546279492,0.249981948155
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-441351533.782,4475289.58603,-439770497.369,-438007962.093,-447857178.298,-446777600.975,-438138917.568,4.0,20028216878800.0,1.7334191682000001e-13,78,0.124994709051,0.00779742807743,0.249546279492,0.249981948155
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-489449426.882,1207844.18515,-489439016.097,-488017170.377,-490902504.955,-490732007.925,-488181420.936,4.0,1458887575590.0,1.7334191682000001e-13,92,0.250003306843,0.0155957225633,0.249546279492,0.249981948155
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-490198549.388,4035286.5601,-491059625.186,-484881659.326,-493793287.852,-493646834.277,-485544758.38,4.0,16283537622200.0,1.7334191682000001e-13,82,0.249996693157,0.0155953099878,0.249546279492,0.249981948155
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-490236251.156,5617364.19587,-489096967.08,-484801653.713,-497949416.753,-496806500.951,-485260999.069,4.0,31554780509000.0,1.7334191682000001e-13,87,0.250003306843,0.0155957225633,0.249546279492,0.249981948155
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-496633316.753,3890618.40659,-496330473.397,-492509281.168,-501363039.048,-500864679.727,-492825934.476,4.0,15136911585700.0,1.7334191682000001e-13,97,0.125001984106,0.00779788191041,0.249546279492,0.249981948155
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-563150750.743,8718662.08335,-561344693.452,-555687765.405,-574225850.663,-572990552.054,-555839429.639,4.0,76015068523700.0,1.7334191682000001e-13,120,0.250003306843,0.00391310857042,0.125226860254,0.124990974078
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-563454778.499,7120677.8389,-566733511.272,-552800314.033,-567551777.418,-567487994.2,-554831336.915,4.0,50704052885400.0,1.7334191682000001e-13,115,0.250003306843,0.00391310857042,0.125226860254,0.124990974078
