npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-ft_capacity
1193.0,-885.0,-19730.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,55012.0,ref,braidwood,illinois,covid,2591893531.39,1628171.18174,2592076072.14,2593675242.83,2589746738.46,2590062103.64,2593469402.09,4.0,2650941397060.0,4.61981158295e-13,0.0012773447555399998,0.111122894195,0.111111111111,227,0.10345395413899999
1193.0,-885.0,-19730.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,66015.0,ref,braidwood,illinois,covid,2590461089.13,3681480.9439800004,2589167296.01,2595741131.88,2587768632.62,2587821686.4,2594911802.23,4.0,13553301940900.0,4.61981158295e-13,0.0012773447555399998,0.111122894195,0.111111111111,236,0.10345395413899999
1193.0,-885.0,-19730.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,77017.0,ref,braidwood,illinois,covid,2587772134.49,1787407.25766,2587809099.08,2589858163.7,2585612176.11,2585862002.34,2589630516.22,4.0,3194824704750.0,4.61981158295e-13,0.0012773447555399998,0.111122894195,0.111111111111,245,0.10345395413899999
1193.0,-885.0,-19730.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,11002.0,ref,braidwood,illinois,covid,2587027057.24,2997070.98866,2587865367.22,2589458482.66,2582919011.88,2583484949.59,2589395530.93,4.0,8982434511060.0,4.61981158295e-13,0.00127676427621,0.111072395265,0.111111111111,191,0.10345395413899999
1193.0,-885.0,-19730.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,99022.0,ref,braidwood,illinois,covid,2585190043.81,3447987.3279199996,2585300187.37,2588519908.09,2581639892.41,2581822279.22,2588403607.42,4.0,11888616613500.0,4.61981158295e-13,0.000638643353803,0.0555589221509,0.111111111111,263,0.10345395413899999
1193.0,-885.0,-19730.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,88020.0,ref,braidwood,illinois,covid,2584675359.73,2093963.7742299999,2585134012.44,2586520096.81,2581913317.24,2582258071.64,2586450534.04,4.0,4384684287790.0,4.61981158295e-13,0.0012773447555399998,0.111122894195,0.111111111111,254,0.10345395413899999
1193.0,-885.0,-19730.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,braidwood,illinois,covid,2567391518.42,3340441.49633,2568634820.43,2569821604.48,2562474828.33,2563340260.96,2569702153.06,4.0,11158549390400.0,4.61981158295e-13,0.000638062874478,0.0555084232214,0.111111111111,182,0.10345395413899999
1193.0,-985.0,-19730.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,55012.0,ref,braidwood,illinois,covid,2513890030.65,2682115.3127,2513608548.79,2516980834.76,2511362190.28,2511450856.3,2516723279.62,4.0,7193742550600.0,4.61981158295e-13,0.0006386723777690001,0.111122894195,0.0555555555556,226,0.10345395413899999
1193.0,-985.0,-19730.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,66015.0,ref,braidwood,illinois,covid,2511832782.71,1899315.8536599998,2511824366.86,2513941517.59,2509740879.53,2509903431.17,2513773916.43,4.0,3607400711950.0,4.61981158295e-13,0.0006386723777690001,0.111122894195,0.0555555555556,235,0.10345395413899999
1193.0,-985.0,-19730.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,33007.0,ref,braidwood,illinois,covid,2511694621.75,2134810.61608,2512252667.32,2513510302.03,2508762850.35,2509172212.38,2513435767.34,4.0,4557416366510.0,4.61981158295e-13,0.0006386723777690001,0.111122894195,0.0555555555556,208,0.10345395413899999
