npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight,PointProbability
1280.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1082641170.72,48086008.0318,1082641170.72,1116643113.08,1048639228.36,1052039422.59,1113242918.84,2.0,2312264168440000.0,41,0.250000304315,0.125,0.25,0.00781250950985,8.40946932138e-15
1280.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1072591535.98,27595716.6564,1072591535.98,1092104654.36,1053078417.6,1055029729.43,1090153342.52,2.0,761523577780000.0,68,0.250000304315,0.25,0.25,0.0156250190197,8.40946932138e-15
1280.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1056890329.64,42879337.5223,1056890329.64,1087210599.97,1026570059.3,1029602086.34,1084178572.94,2.0,1838637586350000.0,113,0.250000371941,0.25,0.125,0.00781251162315,8.40946932138e-15
1280.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,978751090.788,44717691.9015,978751090.788,1010371273.97,947130907.605,950292925.923,1007209255.65,2.0,1999671969000000.0,67,0.250000304315,0.25,0.25,0.0156250190197,8.40946932138e-15
1280.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,950651150.963,23593316.8021,950651150.963,967334145.264,933968156.661,935636456.091,965665845.834,2.0,556644597726000.0,93,0.250000304315,0.25,0.25,0.0156250190197,8.40946932138e-15
1280.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,936932401.772,53916209.3034,936932401.772,975056918.986,898807884.557,902620336.279,971244467.264,2.0,2906957625650000.0,112,0.250000371941,0.25,0.125,0.00781251162315,8.40946932138e-15
1280.0,-385.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,936212680.839,31974664.4467,936212680.839,958822182.896,913603178.783,915864128.988,956561232.69,2.0,1022379166480000.0,94,0.250000304315,0.25,0.25,0.0156250190197,8.40946932138e-15
1280.0,-185.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,900199478.815,145850495.869,900199478.815,1003331353.48,797067604.146,807380791.613,993018166.016,2.0,2.12723671452e+16,120,0.250000304315,0.125,0.125,0.00390625475492,8.40946932138e-15
1280.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,855619849.54,1052841.39386,855619849.54,856364320.829,854875378.251,854949825.38,856289873.7,2.0,1108475000630.0,66,0.250000304315,0.125,0.25,0.00781250950985,8.40946932138e-15
1280.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,795658189.743,51676009.363,795658189.743,832198646.388,759117733.097,762771778.762,828544600.723,2.0,2670409943690000.0,119,0.250000304315,0.25,0.125,0.00781250950985,8.40946932138e-15
1280.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,763236265.022,66345517.0068,763236265.022,810149629.999,716322900.045,721014236.543,805458293.501,2.0,4401727626900000.0,21,0.125000152158,0.125,0.125,0.00195312737746,8.40946932138e-15
1280.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,696900743.098,90835375.5657,696900743.098,761131053.133,632670433.064,639093464.068,754708022.129,2.0,8251065454170000.0,92,0.250000304315,0.25,0.25,0.0156250190197,8.40946932138e-15
1280.0,-985.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,692592281.334,40727987.9767,692592281.334,721391317.816,663793244.851,666673148.5,718511414.168,2.0,1658769004630000.0,111,0.250000371941,0.125,0.125,0.00390625581157,8.40946932138e-15
