npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,prefix,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity
1193.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1513749514.9,8730949.32204,1515167436.9,1521654491.97,1503008693.83,1504106797.27,1521407141.73,4.0,76229476064000.0,0.25,92,0.25,5.88667788813e-14,0.015625133139,0.250002130224
1193.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1485310169.27,12525849.333,1491206730.76,1492251689.56,1466575526.0,1470120948.53,1492244203.93,4.0,156896901513000.0,0.125,108,0.25,5.88667788813e-14,0.0078124334305,0.249997869776
1193.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1478312940.17,15573409.1205,1476216011.88,1498072330.3,1462747406.61,1463783626.15,1495777953.79,4.0,242531071635000.0,0.125,119,0.25,5.88667788813e-14,0.0078125665695,0.250002130224
1193.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1438357373.44,8408739.85574,1441666021.05,1444028668.53,1426068783.13,1428126676.56,1443955963.66,4.0,70706905961500.0,0.25,86,0.125,5.88667788813e-14,0.00781258136272,0.250002603607
1193.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1409913176.89,5373339.09731,1410221725.42,1414964717.73,1404244538.99,1404572140.3,1414822245.54,4.0,28872773054700.0,0.25,97,0.25,5.88667788813e-14,0.0078125665695,0.125001065112
1193.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1382174132.11,6556103.85124,1383057306.67,1388205067.16,1374376847.93,1375095865.37,1388015954.46,4.0,42982497708200.0,0.125,113,0.25,5.88667788813e-14,0.00781258136272,0.250002603607
1193.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1367364333.08,12279808.2931,1372083584.78,1375941325.72,1349348837.04,1352428444.61,1375693269.17,4.0,150793691715000.0,0.125,124,0.25,5.88667788813e-14,0.00390628328475,0.125001065112
1193.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1330830332.96,9890686.38784,1328578382.19,1344703961.72,1321460605.73,1322342577.78,1342470819.21,4.0,97825677222500.0,0.125,102,0.25,5.88667788813e-14,0.00390613535253,0.124996331281
1193.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1323375668.75,12352379.8475,1319524260.4,1340959492.77,1313494661.44,1313910138.11,1338233171.09,4.0,152581287896000.0,0.25,91,0.125,5.88667788813e-14,0.0078125665695,0.250002130224
1193.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1286127863.71,6811704.80859,1285886845.0,1294609102.95,1278128661.88,1279103748.67,1293489404.93,4.0,46399322399400.0,0.125,107,0.25,5.88667788813e-14,0.0078124334305,0.249997869776
1193.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1279996465.8,12230852.309,1281370321.02,1292991736.68,1264253484.47,1266256884.68,1291812649.6,4.0,149593748205000.0,0.125,118,0.25,5.88667788813e-14,0.0078125665695,0.250002130224
1193.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1214387771.55,6519984.07913,1212018789.58,1223914806.06,1209598700.98,1209790463.05,1222301654.8,4.0,42510192392100.0,0.25,96,0.125,5.88667788813e-14,0.00390628328475,0.125001065112
1193.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1176572152.1,8133277.60779,1179102842.41,1183118894.9,1164964028.68,1166784224.09,1182817113.68,4.0,66150204645400.0,0.125,112,0.25,5.88667788813e-14,0.00781258136272,0.250002603607
1193.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1174743667.54,14672426.1067,1181029535.91,1183851826.49,1153063771.85,1156864054.56,1183823064.81,4.0,215280087856000.0,0.125,123,0.25,5.88667788813e-14,0.00390628328475,0.125001065112
1193.0,-985.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1117687858.13,5267074.65341,1119442270.58,1121744625.89,1110122265.49,1111325417.94,1121594120.91,4.0,27742075404600.0,0.125,101,0.125,5.88667788813e-14,0.00195306767627,0.124996331281
