smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity,prefix,PointProbability
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-629310876.954,769273.513718,-629295470.204,-628391318.448,-630261248.961,-630133509.653,-628509813.706,4.0,591781738908.0,0.249546279492,0.00779794379918,0.125002976198,0.249981948155,98,3.46688419418e-13
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-647781251.963,758924.639749,-647683904.446,-647091209.823,-648665989.138,-648589829.952,-647108960.498,4.0,575966608818.0,0.249546279492,0.0077971186374,0.12498974865,0.249981948155,77,3.46688419418e-13
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-647867882.822,1081345.8502,-647504479.173,-647064155.619,-649398417.322,-649167917.639,-647076613.112,4.0,1169308847750.0,0.249546279492,0.0155950624366,0.249992724848,0.249981948155,82,3.46688419418e-13
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-689804083.558,466919.250536,-689809861.491,-689227803.263,-690368807.987,-690290737.926,-689309340.084,4.0,218013586522.0,0.249546279492,0.0155959701145,0.250007275152,0.249981948155,87,3.46688419418e-13
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-732412620.222,1080184.38102,-732529740.838,-731005359.464,-733585639.747,-733463473.43,-731197798.151,4.0,1166798296990.0,0.249546279492,0.0155959701145,0.250007275152,0.249981948155,92,3.46688419418e-13
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-742419653.995,773957.061478,-742455855.444,-741662525.902,-743104379.191,-743099098.209,-741689527.754,4.0,599009533011.0,0.125226860254,0.00195636794902,0.12498974865,0.124990974078,105,3.46688419418e-13
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-773398759.628,1008166.85639,-773255748.478,-772324405.63,-774759135.925,-774539845.729,-772457889.136,4.0,1016400410330.0,0.249546279492,0.00779794379918,0.125002976198,0.249981948155,97,3.46688419418e-13
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-784175794.553,587352.804242,-784230678.622,-783461366.926,-784780454.044,-784739462.865,-783535288.545,4.0,344983316651.0,0.125226860254,0.00391294293863,0.249992724848,0.124990974078,110,3.46688419418e-13
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-796471459.891,1058323.39868,-796600170.915,-795104390.386,-797581107.348,-797484481.004,-795278243.344,4.0,1120048416190.0,0.125226860254,0.00782588587727,0.249992724848,0.249981948155,81,3.46688419418e-13
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-805589794.091,367558.69491,-805466227.728,-805299051.184,-806127669.722,-806031669.267,-805320911.822,4.0,135099394204.0,0.125226860254,0.00391273589804,0.12498974865,0.249981948155,76,3.46688419418e-13
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-825476026.122,748719.081584,-825507388.187,-824616511.966,-826272816.146,-826216687.687,-824691457.665,4.0,560580263127.0,0.125226860254,0.00391317068328,0.250007275152,0.124990974078,115,3.46688419418e-13
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-838820366.58,688810.862456,-838655913.205,-838193076.024,-839776563.886,-839634766.519,-838236201.365,4.0,474460404237.0,0.125226860254,0.00782634136657,0.250007275152,0.249981948155,86,3.46688419418e-13
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-867177557.004,522898.367813,-867062380.588,-866732526.664,-867852940.177,-867773977.605,-866742383.386,4.0,273422703062.0,0.125226860254,0.00391317068328,0.250007275152,0.124990974078,120,3.46688419418e-13
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-880611950.847,1082951.44747,-880611096.041,-879318356.708,-881907254.597,-881756195.143,-879468903.279,4.0,1172783837580.0,0.125226860254,0.00782634136657,0.250007275152,0.249981948155,91,3.46688419418e-13
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-907820000.173,114274.85672,-907780000.259,-907732425.978,-907987574.194,-907958032.45,-907737967.774,4.0,13058742878.3,0.250453720508,0.00391273589804,0.12498974865,0.124990974078,104,3.46688419418e-13
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-908240737.994,923926.515799,-908095367.081,-907352344.869,-909419872.944,-909282957.517,-907402037.748,4.0,853640206597.0,0.125226860254,0.00195657498961,0.125002976198,0.124990974078,125,3.46688419418e-13
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-922739955.991,652934.412103,-922539090.508,-922194499.674,-923687143.272,-923521290.31,-922239833.347,4.0,426323346508.0,0.125226860254,0.00391314997922,0.125002976198,0.249981948155,96,3.46688419418e-13
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-929093835.277,547523.674665,-929173796.762,-928362588.685,-929665158.899,-929608367.564,-928467356.911,4.0,299782174319.0,0.250453720508,0.00782588587727,0.249992724848,0.124990974078,109,3.46688419418e-13
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-971183081.212,1246493.77448,-971511346.92,-969503644.237,-972205986.769,-972182490.172,-969724100.26,4.0,1553746729820.0,0.250453720508,0.00782634136657,0.250007275152,0.124990974078,114,3.46688419418e-13
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1013255455.77,583178.873849,-1013436873.32,-1012455405.51,-1013692670.92,-1013691534.93,-1012565392.03,4.0,340097598904.0,0.250453720508,0.00782634136657,0.250007275152,0.124990974078,119,3.46688419418e-13
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1054831432.46,889389.258097,-1054805560.12,-1053855658.49,-1055858951.09,-1055764914.56,-1053934171.63,4.0,791013252418.0,0.250453720508,0.00391314997922,0.125002976198,0.124990974078,124,3.46688419418e-13
