smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity
240.0,-63.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,100252.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-277113614.66,2670874.17215,-277113614.66,-275225021.421,-279002207.899,-278813348.575,-275413880.745,2.0,7133568843470.0,75,0.00390769409408,0.125039974416,1.28632009175e-11,0.125,0.250012469201
240.0,-156.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,50126.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-281256992.354,1613925.00009,-281256992.354,-280115775.042,-282398209.666,-282284087.935,-280229896.774,2.0,2604753905910.0,34,0.0156292172278,0.250079948833,1.28632009175e-11,0.25,0.249987530799
240.0,-156.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,200504.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-281401919.066,842413.164171,-281401919.066,-280806243.005,-281997595.127,-281938027.521,-280865810.611,2.0,709659939169.0,108,0.0078103911369,0.249920051167,1.28632009175e-11,0.25,0.125006234601
240.0,-94.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,50126.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-282517413.694,790816.586236,-282517413.694,-281958221.924,-283076605.465,-283020686.288,-282014141.101,2.0,625390873066.0,45,0.00781460861388,0.125039974416,1.28632009175e-11,0.25,0.249987530799
240.0,-156.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-284866218.323,2102180.83122,-284866218.323,-283379752.002,-286352684.644,-286204038.012,-283528398.634,2.0,4419164247160.0,9,0.00781382903959,0.250079948833,1.28632009175e-11,0.25,0.124981296198
240.0,-187.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,150378.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-287153790.695,269048.037816,-287153790.695,-286963545.003,-287344036.387,-287325011.818,-286982569.572,2.0,72386846652.6,78,0.0078103911369,0.249920051167,1.28632009175e-11,0.125,0.250012469201
240.0,-94.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,200504.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-291528306.687,41720.3553204,-291528306.687,-291498805.94,-291557807.433,-291554857.358,-291501756.015,2.0,1740588048.06,119,0.00781538818817,0.250079948833,1.28632009175e-11,0.25,0.125006234601
240.0,-125.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,150378.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-293929628.598,737764.740338,-293929628.598,-293407950.148,-294451307.049,-294399139.204,-293460117.993,2.0,544296812085.0,89,0.0156307763763,0.250079948833,1.28632009175e-11,0.25,0.250012469201
240.0,-63.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,150378.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-300396848.258,1725151.36875,-300396848.258,-299176982.027,-301616714.49,-301494727.866,-299298968.65,2.0,2976147245090.0,100,0.00390769409408,0.125039974416,1.28632009175e-11,0.125,0.250012469201
240.0,-94.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,100252.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-303787997.999,1773600.71452,-303787997.999,-302533872.907,-305042123.092,-304916710.583,-302659285.416,2.0,3145659494540.0,70,0.00781538818817,0.125039974416,1.28632009175e-11,0.25,0.250012469201
