npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,prefix,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity
894.0,-703.0,-15441.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1967485739.3,521076.883718,1967485739.3,1967854196.3,1967117282.3,1967154128.0,1967817350.6,2.0,271521118745.0,0.000687921593205,303,0.0555467537293,1.19052167158e-13,0.111111111111,0.111460957179
894.0,-703.0,-15441.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,117823.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1963859472.45,320064.29732,1963859472.45,1964085792.08,1963633152.81,1963655784.78,1964063160.12,2.0,102441154419.0,0.0013760884514,323,0.111113311568,1.19052167158e-13,0.111111111111,0.111460957179
894.0,-791.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,353469.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1953215493.3,537259.689652,1953215493.3,1953595393.27,1952835593.33,1952873583.33,1953557403.27,2.0,288647974125.0,0.00136831394038,262,0.111113311568,1.19052167158e-13,0.111111111111,0.110831234257
894.0,-879.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1951152355.14,2115723.92389,1951152355.14,1952648397.88,1949656312.41,1949805916.68,1952498793.61,2.0,4476287722100.0,0.00068415697019,241,0.111113311568,1.19052167158e-13,0.111111111111,0.0554156171285
894.0,-703.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1946564638.76,899067.004434,1946564638.76,1947200375.13,1945928902.38,1945992476.02,1947136801.49,2.0,808321478463.0,0.0013760884514,283,0.111113311568,1.19052167158e-13,0.111111111111,0.111460957179
894.0,-703.0,-15441.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,176734.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1930859001.07,1782339.28859,1930859001.07,1932119305.27,1929598696.87,1929724727.29,1931993274.85,2.0,3176733339650.0,0.0013760884514,333,0.111113311568,1.19052167158e-13,0.111111111111,0.111460957179
894.0,-791.0,-15441.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,58911.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1929609260.83,2854866.38715,1929609260.83,1931627956.21,1927590565.45,1927792434.99,1931426086.68,2.0,8150262088470.0,0.00136819780737,312,0.11110388104,1.19052167158e-13,0.111111111111,0.110831234257
894.0,-791.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,412380.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1925066563.56,3043644.94537,1925066563.56,1927218745.54,1922914381.58,1923129599.78,1927003527.34,2.0,9263774553460.0,0.00136830232708,272,0.111112368515,1.19052167158e-13,0.111111111111,0.110831234257
894.0,-879.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,294557.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1923269576.56,888972.821693,1923269576.56,1923898175.27,1922640977.85,1922703837.72,1923835315.4,2.0,790272677708.0,0.00068415697019,251,0.111113311568,1.19052167158e-13,0.111111111111,0.0554156171285
894.0,-703.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,530203.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1921357061.81,1595890.03317,1921357061.81,1922485526.47,1920228597.14,1920341443.61,1922372680.0,2.0,2546864997970.0,0.000688050065345,293,0.0555571273102,1.19052167158e-13,0.111111111111,0.111460957179
894.0,-703.0,-15441.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1909108717.03,795491.168413,1909108717.03,1909671214.23,1908546219.83,1908602469.55,1909614964.51,2.0,632806199023.0,0.0013760884514,343,0.111113311568,1.19052167158e-13,0.111111111111,0.111460957179
894.0,-791.0,-15441.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,117823.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1902268188.34,858612.982641,1902268188.34,1902875319.4,1901661057.28,1901721770.39,1902814606.3,2.0,737216253959.0,0.00136831394038,322,0.111113311568,1.19052167158e-13,0.111111111111,0.110831234257
894.0,-791.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1899880817.1,1556463.38654,1899880817.1,1900981402.92,1898780231.29,1898890289.87,1900871344.34,2.0,2422578273640.0,0.00136831394038,282,0.111113311568,1.19052167158e-13,0.111111111111,0.110831234257
894.0,-879.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,353469.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1895896005.8,4594850.5458,1895896005.8,1899145055.78,1892646955.83,1892971860.82,1898820150.79,2.0,21112651538300.0,0.00068415697019,261,0.111113311568,1.19052167158e-13,0.111111111111,0.0554156171285
894.0,-614.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,58911.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1893414839.04,3820756.587,1893414839.04,1896116521.93,1890713156.15,1890983324.43,1895846353.64,2.0,14598180897100.0,0.00137597165855,414,0.11110388104,1.19052167158e-13,0.111111111111,0.111460957179
