smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,prefix,PointProbability,ProbabilityWeight-ft_capacity
720.0,-705.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,409222060.216,1016572.78552,409222060.216,409940885.726,408503234.706,408575117.257,409869003.175,2.0,1033420228250.0,0.000686943302245,0.0556451612903,0.111112744118,171,1.21719856843e-13,0.111103979461
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,398848538.106,3316431.78869,398848538.106,401193609.513,396503466.699,396737973.839,400959102.372,2.0,10998719809000.0,0.000686943302245,0.0556451612903,0.111112744118,231,1.21719856843e-13,0.111103979461
720.0,-498.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,379589886.084,1111411.76699,379589886.084,380375772.881,378803999.287,378882587.967,380297184.201,2.0,1235236115800.0,0.00136432487641,0.110483870968,0.111112744118,334,1.21719856843e-13,0.111136071887
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,377175845.462,968200.96904,377175845.462,377860466.933,376491223.991,376559686.138,377792004.785,2.0,937413116450.0,0.00137387933544,0.111290322581,0.111112156236,263,1.21719856843e-13,0.111103979461
720.0,-636.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,850520.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,375032481.47,539494.11822,375032481.47,375413961.419,374651001.52,374689149.515,375375813.424,2.0,291053903594.0,0.000686939667721,0.111290322581,0.0555560781178,192,1.21719856843e-13,0.111103979461
720.0,-567.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,372344907.251,1979701.54164,372344907.251,373744767.636,370945046.866,371085032.905,373604781.598,2.0,3919218193980.0,0.00137428345215,0.111290322581,0.111112744118,323,1.21719856843e-13,0.111136071887
720.0,-636.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,472511.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,371553747.635,1634761.94705,371553747.635,372709698.893,370397796.377,370513391.502,372594103.767,2.0,2672446623520.0,0.00137387933544,0.111290322581,0.111112156236,252,1.21719856843e-13,0.111103979461
720.0,-705.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,369205653.39,232749.518235,369205653.39,369370232.153,369041074.628,369057532.504,369353774.277,2.0,54172338238.7,0.000686943302245,0.0556451612903,0.111112744118,181,1.21719856843e-13,0.111103979461
720.0,-636.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,359521604.962,1063917.93341,359521604.962,360273908.548,358769301.377,358844531.735,360198678.189,2.0,1131921369040.0,0.00137420346952,0.111290322581,0.11110627741,312,1.21719856843e-13,0.111136071887
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,358302129.193,1843693.50341,358302129.193,359605817.372,356998441.014,357128809.832,359475448.554,2.0,3399205734520.0,0.000686939667721,0.0556451612903,0.111112156236,241,1.21719856843e-13,0.111103979461
