npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,prefix
1280.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-937382012.982,26900766.1387,-937382012.982,-918360298.826,-956403727.138,-954501555.723,-920262470.242,2.0,723651218851000.0,8.40946932138e-15,0.00781250950985,0.125,0.25,0.250000304315,118
1280.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1164181164.98,54739435.9306,-1164181164.98,-1125474538.64,-1202887791.33,-1199017128.69,-1129345201.27,2.0,2996405846000000.0,8.40946932138e-15,0.00781250950985,0.25,0.125,0.250000304315,91
1280.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1222046589.77,31673134.7024,-1222046589.77,-1199650301.45,-1244442878.1,-1242203249.27,-1201889930.28,2.0,1003187461870000.0,8.40946932138e-15,0.00781250950985,0.125,0.25,0.250000304315,117
1280.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1319348339.56,58110052.9671,-1319348339.56,-1278258327.05,-1360438352.06,-1356329350.81,-1282367328.3,2.0,3376778255840000.0,8.40946932138e-15,0.00781250950985,0.25,0.25,0.125000152158,47
1280.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1340086963.04,1028373.65718,-1340086963.04,-1339359793.05,-1340814133.02,-1340741416.02,-1339432510.05,2.0,1057552378790.0,8.40946932138e-15,0.00195312737746,0.125,0.125,0.125000152158,21
1280.0,-385.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1387162805.18,44317009.9454,-1387162805.18,-1355825946.93,-1418499663.43,-1415365977.61,-1358959632.75,2.0,1963997370500000.0,8.40946932138e-15,0.00781250950985,0.25,0.25,0.125000152158,99
1280.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1445687983.14,76138448.9917,-1445687983.14,-1391849969.55,-1499525996.74,-1494142195.38,-1397233770.91,2.0,5797063414870000.0,8.40946932138e-15,0.00781250950985,0.25,0.25,0.125000152158,73
1280.0,-185.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1473453775.98,112224948.017,-1473453775.98,-1394098754.22,-1552808797.74,-1544873295.56,-1402034256.39,2.0,1.25944389573e+16,8.40946932138e-15,0.00195312737746,0.125,0.125,0.125000152158,125
1280.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1502964522.35,22992479.3137,-1502964522.35,-1486706384.31,-1519222660.39,-1517596846.58,-1488332198.11,2.0,528654104992000.0,8.40946932138e-15,0.00390625475492,0.25,0.125,0.125000152158,46
1280.0,-985.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1514726504.44,149006608.602,-1514726504.44,-1409362921.06,-1620090087.83,-1609553729.49,-1419899279.4,2.0,2.2202969407e+16,8.40946932138e-15,0.00390625475492,0.125,0.125,0.250000304315,116
