smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,prefix
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-662842708.858,2605159.20063,-662842708.858,-661000583.121,-664684834.595,-664500622.021,-661184795.695,2.0,6786854460620.0,0.125226860254,2.6175466018599997e-14,0.125018050542,0.125000249693,0.00195695615214,101
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-692090062.515,29212826.7343,-692090062.515,-671433474.633,-712746650.396,-710680991.608,-673499133.422,2.0,853389245808000.0,0.250453720508,2.6175466018599997e-14,0.25,0.250000499385,0.0156533888,59
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-693112556.767,12334587.604,-693112556.767,-684390686.229,-701834427.305,-700962240.251,-685262873.282,2.0,152142051361000.0,0.249546279492,2.6175466018599997e-14,0.249963898917,0.250000499385,0.0155944213959,88
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-746370515.348,58336318.9247,-746370515.348,-705120508.647,-787620522.049,-783495521.379,-709245509.317,2.0,3403126105680000.0,0.249546279492,2.6175466018599997e-14,0.125018050542,0.250000499385,0.00779946292521,70
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-778990927.053,18833330.36,-778990927.053,-765673751.443,-792308102.662,-790976385.101,-767005469.004,2.0,354694332448000.0,0.125226860254,2.6175466018599997e-14,0.125018050542,0.249999500615,0.00391389666791,30
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-780173784.555,33227149.3867,-780173784.555,-756678641.904,-803668927.206,-801319412.941,-759028156.169,2.0,1104043456360000.0,0.250453720508,2.6175466018599997e-14,0.249963898917,0.250000499385,0.0156511283828,83
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-808963953.985,11200800.8189,-808963953.985,-801043791.771,-816884116.198,-816092099.977,-801835807.992,2.0,125457938985000.0,0.125226860254,2.6175466018599997e-14,0.25,0.250000499385,0.0078266944,54
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-854319346.745,4271830.67431,-854319346.745,-851298706.307,-857339987.183,-857037923.139,-851600770.351,2.0,18248537310000.0,0.250453720508,2.6175466018599997e-14,0.25,0.125000249693,0.0078266944,107
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-861354064.708,7559833.68905,-861354064.708,-856008455.041,-866699674.374,-866165113.407,-856543016.008,2.0,57151085406100.0,0.249546279492,2.6175466018599997e-14,0.25,0.250000499385,0.0155966736232,94
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-869966423.905,1569845.31996,-869966423.905,-868856375.634,-871076472.176,-870965467.349,-868967380.461,2.0,2464414328600.0,0.125226860254,2.6175466018599997e-14,0.249963898917,0.250000499385,0.00782556419142,78
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-919094238.271,23567557.774,-919094238.271,-902429458.353,-935759018.189,-934092540.197,-904095936.345,2.0,555429779432000.0,0.249546279492,2.6175466018599997e-14,0.125018050542,0.250000499385,0.00779946292521,65
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-939154403.977,39203905.007,-939154403.977,-911433056.898,-966875751.057,-964103616.349,-914205191.606,2.0,1536946167800000.0,0.125226860254,2.6175466018599997e-14,0.25,0.125000249693,0.0039133472,102
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-992778754.865,2937266.81836,-992778754.865,-990701793.58,-994855716.15,-994648020.022,-990909489.708,2.0,8627536362230.0,0.249546279492,2.6175466018599997e-14,0.25,0.250000499385,0.0155966736232,89
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1053081043.5,19796457.0413,-1053081043.5,-1039082834.48,-1067079252.52,-1065679431.62,-1040482655.39,2.0,391899711387000.0,0.249546279492,2.6175466018599997e-14,0.249963898917,0.125000249693,0.00779721069797,113
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1063371465.58,54264518.3085,-1063371465.58,-1025000656.71,-1101742274.46,-1097905193.57,-1028837737.6,2.0,2944637947260000.0,0.125226860254,2.6175466018599997e-14,0.125018050542,0.250000499385,0.00391391230429,100
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1069682272.65,38015386.2548,-1069682272.65,-1042801335.24,-1096563210.06,-1093875116.32,-1045489428.98,2.0,1445169592100000.0,0.250453720508,2.6175466018599997e-14,0.125018050542,0.250000499385,0.00782782460857,60
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1092005115.77,5081003.2583,-1092005115.77,-1088412303.91,-1095597927.62,-1095238646.44,-1088771585.09,2.0,25816594110900.0,0.250453720508,2.6175466018599997e-14,0.25,0.250000499385,0.0156533888,84
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1129515866.63,29700499.5569,-1129515866.63,-1108514441.98,-1150517291.27,-1148417148.8,-1110614584.45,2.0,882119673932000.0,0.250453720508,2.6175466018599997e-14,0.249963898917,0.125000249693,0.00782556419142,108
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1175230326.18,36608431.5949,-1175230326.18,-1149344255.95,-1201116396.41,-1198527789.38,-1151932862.97,2.0,1340177263840000.0,0.125226860254,2.6175466018599997e-14,0.125018050542,0.250000499385,0.00391391230429,55
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1181991317.74,9783831.97183,-1181991317.74,-1175073103.81,-1188909531.67,-1188217710.28,-1175764925.2,2.0,95723368053100.0,0.249546279492,2.6175466018599997e-14,0.125018050542,0.250000499385,0.00779946292521,95
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1232470157.06,9842170.7836,-1232470157.06,-1225510691.36,-1239429622.76,-1238733676.19,-1226206637.93,2.0,96868325733500.0,0.249546279492,2.6175466018599997e-14,0.25,0.125000249693,0.00779833681159,119
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1237719365.47,13877676.5992,-1237719365.47,-1227906366.24,-1247532364.7,-1246551064.78,-1228887666.16,2.0,192589907792000.0,0.125226860254,2.6175466018599997e-14,0.25,0.250000499385,0.0078266944,79
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1245241496.45,13803218.9003,-1245241496.45,-1235481146.76,-1255001846.14,-1254025811.17,-1236457181.73,2.0,190528852009000.0,0.125226860254,2.6175466018599997e-14,0.249963898917,0.125000249693,0.00391278209571,103
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1368811125.91,22055973.0669,-1368811125.91,-1353215197.79,-1384407054.03,-1382847461.22,-1354774790.6,2.0,486465947930000.0,0.249546279492,2.6175466018599997e-14,0.25,0.125000249693,0.00779833681159,114
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1377140736.03,31898751.2612,-1377140736.03,-1354584912.7,-1399696559.36,-1397440977.03,-1356840495.04,2.0,1017530332020000.0,0.249546279492,2.6175466018599997e-14,0.125018050542,0.250000499385,0.00779946292521,90
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1450715582.37,40829466.9255,-1450715582.37,-1421844789.43,-1479586375.3,-1476699296.01,-1424731868.73,2.0,1667045369420000.0,0.125226860254,2.6175466018599997e-14,0.125018050542,0.125000249693,0.00195695615214,125
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1479399118.31,37437645.6077,-1479399118.31,-1452926705.23,-1505871531.39,-1503224290.08,-1455573946.53,2.0,1401577308650000.0,0.250453720508,2.6175466018599997e-14,0.25,0.125000249693,0.0078266944,109
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1486371296.3,10247436.9424,-1486371296.3,-1479125264.14,-1493617328.45,-1492892725.23,-1479849867.36,2.0,105009963888000.0,0.250453720508,2.6175466018599997e-14,0.125018050542,0.250000499385,0.00782782460857,85
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1560459677.73,49987861.4246,-1560459677.73,-1525112921.94,-1595806433.52,-1592271757.94,-1528647597.52,2.0,2498786289800000.0,0.249546279492,2.6175466018599997e-14,0.125018050542,0.125000249693,0.0038997314626,120
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1585406946.88,10921471.7345,-1585406946.88,-1577684300.16,-1593129593.61,-1592357328.93,-1578456564.83,2.0,119278544847000.0,0.125226860254,2.6175466018599997e-14,0.125018050542,0.250000499385,0.00391391230429,80
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1630611679.12,4128436.54618,-1630611679.12,-1627692433.64,-1633530924.59,-1633239000.05,-1627984358.19,2.0,17043988315800.0,0.125226860254,2.6175466018599997e-14,0.25,0.125000249693,0.0039133472,104
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1719350238.35,26240682.753,-1719350238.35,-1700795273.63,-1737905203.06,-1736049706.59,-1702650770.1,2.0,688573431343000.0,0.249546279492,2.6175466018599997e-14,0.125018050542,0.125000249693,0.0038997314626,115
