smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-meoh_capacity,ProbabilityWeight
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1737250410.22,20332933.9034,-1737250410.22,-1722872854.78,-1751627965.66,-1750190210.12,-1724310610.32,2.0,413428201121000.0,0.125000249693,113,0.249546279492,2.6175466018599997e-14,0.249963898917,0.00779721069797
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1781731398.52,10498083.252,-1781731398.52,-1774308132.67,-1789154664.38,-1788412337.79,-1775050459.25,2.0,110209751966000.0,0.250000499385,79,0.125226860254,2.6175466018599997e-14,0.25,0.0078266944
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1819520285.04,12560602.3333,-1819520285.04,-1810638597.96,-1828401972.13,-1827513803.42,-1811526766.67,2.0,157768730975000.0,0.125000249693,108,0.250453720508,2.6175466018599997e-14,0.249963898917,0.00782556419142
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1860503243.0,22733954.3885,-1860503243.0,-1844427909.69,-1876578576.31,-1874971042.98,-1846035443.02,2.0,516832682140000.0,0.250000499385,90,0.249546279492,2.6175466018599997e-14,0.125018050542,0.00779946292521
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1927284643.25,32010207.6463,-1927284643.25,-1904650008.36,-1949919278.14,-1947655814.65,-1906913471.85,2.0,1024653393560000.0,0.125000249693,119,0.249546279492,2.6175466018599997e-14,0.25,0.00779833681159
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1958763748.15,14160457.3008,-1958763748.15,-1948750792.77,-1968776703.53,-1967775407.99,-1949752088.3,2.0,200518550968000.0,0.125000249693,103,0.125226860254,2.6175466018599997e-14,0.249963898917,0.00391278209571
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1979147693.85,36210301.8059,-1979147693.85,-1953543143.9,-2004752243.81,-2002191788.81,-1956103598.89,2.0,1311185956870000.0,0.250000499385,85,0.250453720508,2.6175466018599997e-14,0.125018050542,0.00782782460857
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2045193037.7,10273154.2139,-2045193037.7,-2037928820.69,-2052457254.71,-2051730833.01,-2038655242.39,2.0,105537697503000.0,0.125000249693,125,0.125226860254,2.6175466018599997e-14,0.125018050542,0.00195695615214
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2049262063.56,6333672.163,-2049262063.56,-2044783481.02,-2053740646.09,-2053292787.84,-2045231339.27,2.0,40115403068400.0,0.125000249693,114,0.249546279492,2.6175466018599997e-14,0.25,0.00779833681159
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2176644477.29,54316661.7638,-2176644477.29,-2138236797.42,-2215052157.15,-2211211389.17,-2142077565.41,2.0,2950299745160000.0,0.250000499385,80,0.125226860254,2.6175466018599997e-14,0.125018050542,0.00391391230429
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2179152484.24,20482849.9668,-2179152484.24,-2164668922.13,-2193636046.35,-2192187690.14,-2166117278.34,2.0,419547142761000.0,0.125000249693,109,0.250453720508,2.6175466018599997e-14,0.25,0.0078266944
