npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,prefix,PointProbability
769.0,-308.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,617901587.472,5914336.15162,617901587.472,622083654.671,613719520.273,614137726.993,621665447.951,2.0,34979372114300.0,0.125,0.250420168067,0.00391289255617,0.125002473607,124,2.78193391732e-13
769.0,-754.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,609741639.951,13914003.976,609741639.951,619580326.516,599902953.386,600886822.042,618596457.859,2.0,193599506645000.0,0.25,0.125210084034,0.00782582382741,0.250006184017,86,2.78193391732e-13
769.0,-457.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,581496206.791,805878.712433,581496206.791,582066049.094,580926364.489,580983348.719,582009064.863,2.0,649440499152.0,0.125,0.249579831933,0.00389941477793,0.124991342377,103,2.78193391732e-13
769.0,-457.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,581133994.17,35624504.827,581133994.17,606324323.109,555943665.23,558462698.124,603805290.216,2.0,1269105344170000.0,0.125,0.249579831933,0.00779917682217,0.249993815983,108,2.78193391732e-13
769.0,-457.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,544566931.716,16001261.5046,544566931.716,555881532.233,533252331.199,534383791.25,554750072.182,2.0,256040369738000.0,0.125,0.249579831933,0.00779956267363,0.250006184017,113,2.78193391732e-13
769.0,-754.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,508442838.978,1008692.72447,508442838.978,509156092.443,507729585.512,507800910.859,509084767.097,2.0,1017461012390.0,0.25,0.125210084034,0.00782582382741,0.250006184017,91,2.78193391732e-13
769.0,-754.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,507489051.68,10388041.5449,507489051.68,514834506.299,500143597.06,500878142.522,514099960.837,2.0,107911407138000.0,0.25,0.125210084034,0.00391289255617,0.125002473607,96,2.78193391732e-13
769.0,-457.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,491624305.418,20384503.2554,491624305.418,506038325.901,477210284.935,478651686.983,504596923.853,2.0,415527972971000.0,0.125,0.249579831933,0.00779956267363,0.250006184017,118,2.78193391732e-13
769.0,-457.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,436942757.558,10949153.6967,436942757.558,444684978.385,429200536.731,429974758.814,443910756.303,2.0,119883966674000.0,0.125,0.249579831933,0.00389976204424,0.125002473607,123,2.78193391732e-13
769.0,-605.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,424208558.098,20770900.3771,424208558.098,438895802.606,409521313.59,410990038.041,437427078.155,2.0,431430302475000.0,0.125,0.249579831933,0.00389941477793,0.124991342377,102,2.78193391732e-13
769.0,-605.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,406987384.268,26743211.1579,406987384.268,425897690.229,388077078.308,389968108.904,424006659.633,2.0,715199343038000.0,0.125,0.249579831933,0.00779917682217,0.249993815983,107,2.78193391732e-13
769.0,-605.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,370937889.361,14205928.0404,370937889.361,380982997.411,360892781.311,361897292.116,379978486.606,2.0,201808391489000.0,0.125,0.249579831933,0.00779956267363,0.250006184017,112,2.78193391732e-13
769.0,-605.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,298412801.949,4593485.94144,298412801.949,301660887.007,295164716.89,295489525.396,301336078.501,2.0,21100113094200.0,0.125,0.249579831933,0.00779956267363,0.250006184017,117,2.78193391732e-13
769.0,-605.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,261776551.336,14109830.9933,261776551.336,271753708.513,251799394.159,252797109.877,270755992.795,2.0,199087330660000.0,0.125,0.249579831933,0.00389976204424,0.125002473607,122,2.78193391732e-13
769.0,-754.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,255942879.011,38211907.9636,255942879.011,282962778.254,228922979.768,231624969.692,280260788.33,2.0,1460149910220000.0,0.125,0.125210084034,0.0039127183384,0.249993815983,106,2.78193391732e-13
769.0,-754.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,245604820.558,3709613.7115,245604820.558,248227913.569,242981727.547,243244036.848,247965604.268,2.0,13761233888500.0,0.125,0.125210084034,0.00195627206031,0.124991342377,101,2.78193391732e-13
769.0,-754.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,216891494.561,16243573.0997,216891494.561,228377435.25,205405553.871,206554147.94,227228841.181,2.0,263853667046000.0,0.125,0.125210084034,0.0039129119137,0.250006184017,111,2.78193391732e-13
769.0,-754.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,162987580.011,3809485.93613,162987580.011,165681293.349,160293866.673,160563238.006,165411922.015,2.0,14512183097500.0,0.125,0.125210084034,0.0039129119137,0.250006184017,116,2.78193391732e-13
769.0,-754.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,105885879.923,4112948.81647,105885879.923,108794173.921,102977585.924,103268415.324,108503344.522,2.0,16916347966900.0,0.125,0.125210084034,0.00195644627809,0.125002473607,121,2.78193391732e-13
769.0,-308.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-159624894721.0,15489726.0526,-159624894721.0,-159613941831.0,-159635847612.0,-159634752323.0,-159615037120.0,2.0,239931613184000.0,0.25,0.250420168067,0.00782508824124,0.124991342377,79,2.78193391732e-13
769.0,-308.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-159686000656.0,13981312.1723,-159686000656.0,-159676114375.0,-159695886936.0,-159694898308.0,-159677103003.0,2.0,195477090060000.0,0.25,0.250420168067,0.0156508733536,0.249993815983,84,2.78193391732e-13
769.0,-308.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-159740535729.0,12853402.8688,-159740535729.0,-159731447001.0,-159749624458.0,-159748715585.0,-159732355874.0,2.0,165209965309000.0,0.25,0.250420168067,0.0156516476548,0.250006184017,89,2.78193391732e-13
