smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity,prefix
1200.0,-985.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-3136533699.01,1045670.86521,-3136432522.87,-3135439784.91,-3137829965.4,-3137685977.65,-3135523066.97,4.0,1093427558340.0,9.302483829449999e-14,0.000771621010057,0.0555555555556,0.125002603629,0.111111111111,191
1200.0,-685.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-3141989891.69,515711.067977,-3141970977.76,-3141472597.36,-3142545013.91,-3142508816.37,-3141497446.54,4.0,265957905634.0,9.302483829449999e-14,0.0015431251344,0.111111111111,0.124993135887,0.111111111111,204
1200.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-3151611753.41,447412.826362,-3151506902.27,-3151209235.48,-3152223973.6,-3152138075.56,-3151232222.84,4.0,200178237194.0,9.302483829449999e-14,0.00308648404023,0.111111111111,0.250005207258,0.111111111111,235
1200.0,-685.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-3162646408.8,611927.810849,-3162507444.45,-3162072861.42,-3163497884.87,-3163367926.26,-3162119441.42,4.0,374455645691.0,9.302483829449999e-14,0.00308635546595,0.111111111111,0.249994792742,0.111111111111,214
1200.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-3189631058.72,360787.810024,-3189653285.63,-3189193459.93,-3190024203.71,-3189990677.59,-3189240322.19,4.0,130167843862.0,9.302483829449999e-14,0.00154324202011,0.111111111111,0.125002603629,0.111111111111,245
1200.0,-685.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-3201240200.92,651237.545446,-3201244899.13,-3200443717.69,-3202027287.74,-3201924315.25,-3200549509.1,4.0,424110340599.0,9.302483829449999e-14,0.00308647235166,0.111111111111,0.250004260484,0.111111111111,224
1200.0,-685.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-3240642185.06,461219.104814,-3240536075.9,-3240228723.79,-3241267864.63,-3241182566.5,-3240250356.43,4.0,212723062646.0,9.302483829449999e-14,0.00308648404023,0.111111111111,0.250005207258,0.111111111111,234
1200.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-3244465483.29,108386.218247,-3244478908.39,-3244321867.67,-3244582248.71,-3244569394.3,-3244342777.14,4.0,11747572305.9,9.302483829449999e-14,0.0015431251344,0.111111111111,0.124993135887,0.111111111111,203
1200.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-3253095653.22,683114.573639,-3253071568.24,-3252375360.1,-3253864116.28,-3253802295.1,-3252422730.3,4.0,466645520718.0,9.302483829449999e-14,0.00308635546595,0.111111111111,0.249994792742,0.111111111111,213
1200.0,-685.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-3281392989.43,1334432.91421,-3281628510.82,-3279670384.24,-3282644551.86,-3282580722.95,-3279875525.98,4.0,1780711202520.0,9.302483829449999e-14,0.00154324202011,0.111111111111,0.125002603629,0.111111111111,244
