smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,PointProbability
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1022067005.48,13244752.4151,-1016277800.17,-1013936932.74,-1041775488.82,-1038181226.08,-1014057672.3,4.0,175423466536000.0,0.00195650474422,101,0.124998488314,0.125226860254,0.124990974078,4.95258127397e-14
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1049228583.06,28724846.0148,-1044449297.24,-1023094472.56,-1084921265.18,-1081156541.08,-1023991625.17,4.0,825116778575000.0,0.00779891969886,73,0.125000566882,0.249546279492,0.250018051845,4.95258127397e-14
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1057456341.23,25290960.9448,-1048628432.51,-1038120907.02,-1094447592.86,-1088058715.36,-1039213039.3,4.0,639632705514000.0,0.00782614319848,114,0.250000944804,0.250453720508,0.124990974078,4.95258127397e-14
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1081294743.99,20018170.9764,-1076922524.15,-1064304549.38,-1107029378.29,-1104061371.9,-1064649223.87,4.0,400727169240000.0,0.00779772866837,107,0.249999055196,0.249546279492,0.124990974078,4.95258127397e-14
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1092209760.63,21740480.8689,-1097586471.48,-1062395991.69,-1111270107.89,-1110319678.84,-1066572447.24,4.0,472648508410000.0,0.00782614319848,86,0.250000944804,0.125226860254,0.249981948155,4.95258127397e-14
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1114890830.29,25300369.6446,-1116740700.46,-1088892723.54,-1137189196.7,-1137007938.2,-1090183904.14,4.0,640108704154000.0,0.0155955752144,93,0.250000944804,0.249546279492,0.249981948155,4.95258127397e-14
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1124244714.25,6872619.0127,-1124366667.53,-1115814925.6,-1132430596.34,-1131422223.19,-1116896470.72,4.0,47232892093700.0,0.00779891969886,72,0.125000566882,0.249546279492,0.250018051845,4.95258127397e-14
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1230187337.78,51146277.5097,-1211393317.99,-1192287019.5,-1305675695.62,-1291803098.34,-1194883204.92,4.0,2615941703100000.0,0.00779778760718,113,0.250000944804,0.249546279492,0.124990974078,4.95258127397e-14
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1236905383.99,15431073.2628,-1234792673.01,-1222031189.5,-1256005000.45,-1253982089.23,-1222786474.13,4.0,238118022041000.0,0.0155955752144,92,0.250000944804,0.249546279492,0.249981948155,4.95258127397e-14
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1244858233.52,31317048.5174,-1252183959.5,-1204862437.31,-1270202577.78,-1270082531.89,-1209377918.79,4.0,980757527841000.0,0.00391304202267,106,0.249999055196,0.125226860254,0.124990974078,4.95258127397e-14
