smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-ft_capacity,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1611403196.86,17966735.3541,-1615075724.17,-1582254911.52,-1634541665.01,-1632023856.14,-1583092886.08,10.0,322803579284000.0,0.124999315018,78,0.249981948155,2.4762864257000002e-14,0.00779771540721,0.249546279492
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1613974422.55,36143970.2024,-1614956012.08,-1565996557.54,-1660596060.87,-1659523997.73,-1569460261.57,10.0,1306386581990000.0,0.250000425161,42,0.250018051845,2.4762864257000002e-14,0.0155977951872,0.249546279492
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1622321574.73,38248134.4602,-1631221501.53,-1539161202.07,-1664538516.0,-1660201315.01,-1564435063.17,10.0,1462919789680000.0,0.124999315018,105,0.124990974078,2.4762864257000002e-14,0.00195651768399,0.125226860254
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1663632342.7,30462525.9152,-1670531757.48,-1606937208.35,-1699403979.08,-1697609447.19,-1611533269.0,10.0,927965485133000.0,0.250000519641,62,0.250018051845,2.4762864257000002e-14,0.0155978010819,0.249546279492
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1677777966.26,31902528.3166,-1669736500.65,-1641146769.91,-1730954358.47,-1724416103.27,-1641435091.39,10.0,1017771312990000.0,0.249999574839,83,0.249981948155,2.4762864257000002e-14,0.0155954897531,0.249546279492
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1696315409.9,52566270.0771,-1684277324.16,-1633343619.13,-1807545629.76,-1783001266.26,-1641205673.27,10.0,2763212749820000.0,0.12500016534,21,0.124990974078,2.4762864257000002e-14,0.00195653099342,0.125226860254
720.0,-154.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1720935509.98,45201778.296,-1721208824.46,-1640142242.47,-1790577836.35,-1783111884.79,-1657456973.87,10.0,2043200761120000.0,0.12500016534,50,0.250018051845,2.4762864257000002e-14,0.00391362713156,0.125226860254
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1738419869.4,26012711.2681,-1738700427.74,-1680756183.63,-1775393922.88,-1771492442.42,-1700536604.73,10.0,676661147517000.0,0.250000425161,41,0.250018051845,2.4762864257000002e-14,0.0078272572212,0.125226860254
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1766177433.54,20725779.7018,-1769340114.39,-1724260128.95,-1792782329.4,-1789713648.0,-1734455328.16,10.0,429557944249000.0,0.124999315018,77,0.249981948155,2.4762864257000002e-14,0.00779771540721,0.249546279492
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1768995084.95,35863667.9884,-1768405186.24,-1710429706.13,-1835302587.88,-1818420363.54,-1718651187.69,10.0,1286202681580000.0,0.124999315018,104,0.124990974078,2.4762864257000002e-14,0.00391303536798,0.250453720508
