smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-meoh_capacity,PointProbability
720.0,-667.0,-5076.3,-1e+200,-1e+200,-1e+200,-1e+200,703992.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1017787290.68,1161469.69911,-1017787290.68,-1016966007.58,-1018608573.78,-1018526445.47,-1017048135.89,2.0,1349011861960.0,0.125,29,0.249999200982,0.00781247503069,0.25,3.6761913905299995e-14
720.0,-512.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1090678658.23,31136245.9874,-1090678658.23,-1068662007.55,-1112695308.91,-1110493643.84,-1070863672.62,2.0,969465814191000.0,0.25,10,0.124998712693,0.00390625991364,0.12500160456,0.0
720.0,-47.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,1407984.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1091223947.53,1170834.38033,-1091223947.53,-1090396042.6,-1092051852.46,-1091969061.97,-1090478833.09,2.0,1370853146160.0,0.125,75,0.250000799018,0.0039063126273,0.12500160456,0.0
720.0,-667.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,2111975.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1126372426.05,2538320.17896,-1126372426.05,-1124577562.64,-1128167289.47,-1127987803.12,-1124757048.98,2.0,6443069330940.0,0.125,78,0.250000799018,0.00781252496931,0.25,3.6761913905299995e-14
720.0,-357.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,2815967.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1142387248.66,24335981.8135,-1142387248.66,-1125179110.9,-1159595386.43,-1157874572.65,-1126899924.67,2.0,592240010827000.0,0.25,113,0.125000488289,0.00781253051804,0.25,3.6761913905299995e-14
720.0,-512.0,-5076.3,-1e+200,-1e+200,-1e+200,-1e+200,1407984.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1149483429.3,16527999.9893,-1149483429.3,-1137796368.43,-1161170490.17,-1160001784.08,-1138965074.51,2.0,273174783647000.0,0.25,59,0.250000799018,0.0156250499386,0.25,3.6761913905299995e-14
720.0,-202.0,-5076.3,-1e+200,-1e+200,-1e+200,-1e+200,2111975.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1157728827.82,25179987.7287,-1157728827.82,-1139923887.75,-1175533767.89,-1173753273.89,-1141704381.75,2.0,634031782019000.0,0.25,94,0.250000799018,0.0156250499386,0.25,3.6761913905299995e-14
720.0,-357.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,703992.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1193024906.39,30370273.9793,-1193024906.39,-1171549879.71,-1214499933.06,-1212352430.4,-1173697382.38,2.0,922353541579000.0,0.25,40,0.249999200982,0.00781257531534,0.12500160456,0.0
720.0,-667.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1258321656.65,16420081.0878,-1258321656.65,-1246710905.97,-1269932407.34,-1268771332.27,-1247871981.04,2.0,269619062931000.0,0.125,5,0.124998712693,0.00195312995682,0.12500160456,0.0
720.0,-512.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,2815967.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1282300910.97,3538583.82185,-1282300910.97,-1279798754.35,-1284803067.58,-1284552851.92,-1280048970.01,2.0,12521575464200.0,0.25,108,0.125000488289,0.00781253051804,0.25,3.6761913905299995e-14
720.0,-357.0,-5076.3,-1e+200,-1e+200,-1e+200,-1e+200,2111975.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1314911202.33,10592552.2151,-1314911202.33,-1307421136.83,-1322401267.83,-1321652261.28,-1308170143.38,2.0,112202162430000.0,0.25,89,0.250000799018,0.0156250499386,0.25,3.6761913905299995e-14
720.0,-667.0,-5076.3,-1e+200,-1e+200,-1e+200,-1e+200,1407984.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1327410014.88,22919717.0664,-1327410014.88,-1311203327.52,-1343616702.24,-1341996033.5,-1312823996.25,2.0,525313430403000.0,0.125,54,0.250000799018,0.00781252496931,0.25,3.6761913905299995e-14
720.0,-202.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,1407984.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1352623091.64,25049809.6567,-1352623091.64,-1334910201.37,-1370335981.92,-1368564692.89,-1336681490.39,2.0,627492963838000.0,0.25,70,0.250000799018,0.0078126252546,0.12500160456,0.0
720.0,-512.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,703992.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1355471602.15,6664983.45687,-1355471602.15,-1350758747.15,-1360184457.15,-1359713171.65,-1351230032.65,2.0,44422004480400.0,0.25,35,0.249999200982,0.00781257531534,0.12500160456,0.0
720.0,-667.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,2815967.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1414832324.33,19861968.5563,-1414832324.33,-1400787791.68,-1428876856.99,-1427472403.72,-1402192244.95,2.0,394497794931000.0,0.125,103,0.125000488289,0.00390626525902,0.25,3.6761913905299995e-14
720.0,-47.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,2111975.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1447673345.82,13688241.6495,-1447673345.82,-1437994297.33,-1457352394.31,-1456384489.46,-1438962202.18,2.0,187367959455000.0,0.125,100,0.250000799018,0.0039063126273,0.12500160456,0.0
720.0,-357.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,1407984.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1461636687.22,3194574.78776,-1461636687.22,-1459377781.73,-1463895592.72,-1463669702.17,-1459603672.28,2.0,10205308074600.0,0.25,65,0.250000799018,0.0078126252546,0.12500160456,0.0
720.0,-202.0,-5076.3,-1e+200,-1e+200,-1e+200,-1e+200,2815967.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1466502021.74,49615983.0301,-1466502021.74,-1431418223.68,-1501585819.79,-1498077439.99,-1434926603.49,2.0,2461745772040000.0,0.25,119,0.125000488289,0.00781253051804,0.25,3.6761913905299995e-14
720.0,-512.0,-5076.3,-1e+200,-1e+200,-1e+200,-1e+200,2111975.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1501647956.53,42381953.3987,-1501647956.53,-1471679389.88,-1531616523.18,-1528619666.51,-1474676246.55,2.0,1796229973890000.0,0.25,84,0.250000799018,0.0156250499386,0.25,3.6761913905299995e-14
720.0,-667.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,703992.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1520926851.8,6370262.27229,-1520926851.8,-1516422396.15,-1525431307.46,-1524980861.89,-1516872841.72,2.0,40580241417700.0,0.125,30,0.249999200982,0.00390628765767,0.12500160456,0.0
720.0,-202.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,2111975.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1597544295.23,3596805.80661,-1597544295.23,-1595000969.46,-1600087621.01,-1599833288.43,-1595255302.03,2.0,12937012010400.0,0.25,95,0.250000799018,0.0078126252546,0.12500160456,0.0
720.0,-357.0,-5076.3,-1e+200,-1e+200,-1e+200,-1e+200,2815967.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1608066555.8,33639297.9043,-1608066555.8,-1584279980.14,-1631853131.47,-1629474473.9,-1586658637.71,2.0,1131602363500000.0,0.25,114,0.125000488289,0.00781253051804,0.25,3.6761913905299995e-14
720.0,-667.0,-5076.3,-1e+200,-1e+200,-1e+200,-1e+200,2111975.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1632883114.96,6198762.58125,-1632883114.96,-1628499927.9,-1637266302.02,-1636827983.31,-1628938246.61,2.0,38424657538700.0,0.125,79,0.250000799018,0.00781252496931,0.25,3.6761913905299995e-14
720.0,-512.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,1407984.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1695449009.28,22726418.9175,-1695449009.28,-1679379004.35,-1711519014.21,-1709912013.72,-1680986004.84,2.0,516490116813000.0,0.25,60,0.250000799018,0.0078126252546,0.12500160456,0.0
720.0,-47.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,2815967.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1743065776.84,23541465.0992,-1743065776.84,-1726419447.23,-1759712106.45,-1758047473.49,-1728084080.19,2.0,554200579016000.0,0.125,125,0.125000488289,0.00195315770085,0.12500160456,0.0
720.0,-357.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,2111975.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1788007026.92,21776950.2333,-1788007026.92,-1772608397.73,-1803405656.1,-1801865793.18,-1774148260.65,2.0,474235561464000.0,0.25,90,0.250000799018,0.0078126252546,0.12500160456,0.0
720.0,-512.0,-5076.3,-1e+200,-1e+200,-1e+200,-1e+200,2815967.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1798701178.88,31110280.6083,-1798701178.88,-1776702888.49,-1820699469.26,-1818499640.22,-1778902717.53,2.0,967849559529000.0,0.25,109,0.125000488289,0.00781253051804,0.25,3.6761913905299995e-14
720.0,-667.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,1407984.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1831366289.02,7064174.15284,-1831366289.02,-1826371163.57,-1836361414.46,-1835861901.92,-1826870676.12,2.0,49902556461700.0,0.125,55,0.250000799018,0.0039063126273,0.12500160456,0.0
720.0,-512.0,-12866.6,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1888518181.65,3408095.47494,-1888518181.65,-1886108294.23,-1890928069.08,-1890687080.33,-1886349282.98,2.0,11615114766300.0,0.25,7,0.124998712693,0.00781241954334,0.25,3.6761913905299995e-14
720.0,-202.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,2815967.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1928302360.2,300270.277434,-1928302360.2,-1928090037.06,-1928514683.35,-1928493451.04,-1928111269.37,2.0,90162239510.6,0.25,120,0.125000488289,0.0039063154017,0.12500160456,0.0
720.0,-667.0,-5076.3,-1e+200,-1e+200,-1e+200,-1e+200,2815967.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1969975090.65,17639228.4626,-1969975090.65,-1957502272.59,-1982447908.71,-1981200626.9,-1958749554.39,2.0,311142380756000.0,0.125,104,0.125000488289,0.00390626525902,0.25,3.6761913905299995e-14
720.0,-512.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,2111975.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2007754892.08,55363579.7521,-2007754892.08,-1968606929.4,-2046902854.75,-2042988058.48,-1972521725.67,2.0,3065125962970000.0,0.25,85,0.250000799018,0.0078126252546,0.12500160456,0.0
720.0,-357.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,2815967.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2139922268.27,7570713.77904,-2139922268.27,-2134568965.22,-2145275571.32,-2144740241.01,-2135104295.52,2.0,57315707124200.0,0.25,115,0.125000488289,0.0039063154017,0.12500160456,0.0
720.0,-667.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,2111975.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2185096762.47,10239665.0895,-2185096762.47,-2177856225.85,-2192337299.1,-2191613245.43,-2178580279.51,2.0,104850741145000.0,0.125,80,0.250000799018,0.0039063126273,0.12500160456,0.0
720.0,-512.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,2815967.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2292206622.82,18082237.4411,-2292206622.82,-2279420550.1,-2304992695.53,-2303714088.26,-2280699157.38,2.0,326967310875000.0,0.25,110,0.125000488289,0.0039063154017,0.12500160456,0.0
720.0,-667.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,2815967.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2490227648.01,14164342.9312,-2490227648.01,-2480211945.07,-2500243350.95,-2499241780.65,-2481213515.36,2.0,200628610673000.0,0.125,105,0.125000488289,0.00195315770085,0.12500160456,0.0
720.0,-202.0,-5076.3,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2550951448.12,11541247.4514,-2550951448.12,-2542790553.78,-2559112342.46,-2558296253.02,-2543606643.22,2.0,133200392734000.0,0.25,19,0.124998712693,0.00781241954334,0.25,3.6761913905299995e-14
