smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-htse_capacity,PointProbability
720.0,-85.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,106315.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-471832448.932,3498766.1669,-471832448.932,-469358447.65,-474306450.214,-474059050.086,-469605847.778,2.0,12241364690700.0,0.00390610800096,0.12499839544,0.249994121105,110,0.125,0.0
720.0,-550.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-481177143.877,788254.38483,-481177143.877,-480619763.857,-481734523.898,-481678785.896,-480675501.859,2.0,621344975204.0,0.0156253674309,0.25,0.250005878895,87,0.25,2.43433201164e-13
720.0,-85.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-516258624.562,2501015.85666,-516258624.562,-514490139.29,-518027109.834,-517850261.307,-514666987.817,2.0,6255080315280.0,0.00390629171407,0.12499839544,0.250005878895,115,0.125,0.0
720.0,-550.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,318945.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-529214881.778,66185.4245776,-529214881.778,-529168081.616,-529261681.941,-529257001.925,-529172761.632,2.0,4380510426.52,0.0156253674309,0.25,0.250005878895,92,0.25,2.43433201164e-13
720.0,-85.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,318945.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-561515011.67,1290570.70056,-561515011.67,-560602440.376,-562427582.964,-562336325.835,-560693697.506,2.0,1665572733150.0,0.00390629171407,0.12499839544,0.250005878895,120,0.125,0.0
720.0,-550.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-575657503.603,1453897.64221,-575657503.603,-574629442.721,-576685564.485,-576582758.396,-574732248.809,2.0,2113818354020.0,0.00781268371546,0.25,0.125002939447,97,0.25,2.43433201164e-13
720.0,-705.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,106315.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-603358557.825,368726.321115,-603358557.825,-603097828.943,-603619286.707,-603593213.819,-603123901.831,2.0,135959099883.0,0.00781231628454,0.25,0.249994121105,81,0.125,2.43433201164e-13
720.0,-85.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-610125074.978,3614577.29965,-610125074.978,-607569182.859,-612680967.098,-612425377.886,-607824772.071,2.0,13065169055100.0,0.00195314585703,0.12499839544,0.125002939447,125,0.125,0.0
720.0,-240.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-619124811.423,881220.726734,-619124811.423,-618501694.272,-619747928.575,-619685616.86,-618564005.987,2.0,776549969225.0,0.00390592428786,0.12499839544,0.124991181658,104,0.25,0.0
720.0,-240.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,106315.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-634592150.525,3778294.05627,-634592150.525,-631920493.176,-637263807.873,-636996642.138,-632187658.911,2.0,14275505975700.0,0.00781221600193,0.12499839544,0.249994121105,109,0.25,0.0
