smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-488807848.807,3902001.07116,-488807848.807,-486048717.389,-491566980.224,-491291067.083,-486324630.531,2.0,15225612359400.0,0.249546279492,1.83230531396e-13,0.00779840846903,114,0.25,0.125001398296
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-499242919.799,1475722.57343,-499242919.799,-498199426.36,-500286413.238,-500182063.894,-498303775.704,2.0,2177757113720.0,0.249546279492,1.83230531396e-13,0.00779955640487,70,0.125018050542,0.250003495741
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-507307158.172,2468594.93207,-507307158.172,-505561597.956,-509052718.389,-508878162.367,-505736153.977,2.0,6093960938650.0,0.125226860254,1.83230531396e-13,0.00195697413424,125,0.125018050542,0.125001398296
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-546371032.662,733222.687811,-546371032.662,-545852565.927,-546889499.397,-546837652.723,-545904412.601,2.0,537615509921.0,0.125226860254,1.83230531396e-13,0.00782656932572,29,0.25,0.249996504259
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-547788408.54,3953182.42528,-547788408.54,-544993086.44,-550583730.641,-550304198.431,-545272618.65,2.0,15627651287600.0,0.250453720508,1.83230531396e-13,0.0156535764121,84,0.25,0.250003495741
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-550451618.776,1192318.47823,-550451618.776,-549608522.295,-551294715.258,-551210405.61,-549692831.943,2.0,1421623353520.0,0.249546279492,1.83230531396e-13,0.00389957098961,15,0.125018050542,0.124995105963
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-558851353.864,6699720.57189,-558851353.864,-554113936.016,-563588771.713,-563115029.928,-554587677.8,2.0,44886255741500.0,0.125226860254,1.83230531396e-13,0.00391318616671,4,0.25,0.124995105963
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-572849113.711,8485762.41483,-572849113.711,-566848773.564,-578849453.858,-578249419.844,-567448807.579,2.0,72008163760900.0,0.249546279492,1.83230531396e-13,0.0077993382861,40,0.125018050542,0.249996504259
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-574373347.876,4570582.98769,-574373347.876,-571141457.651,-577605238.1,-577282049.078,-571464646.674,2.0,20890228847400.0,0.249546279492,1.83230531396e-13,0.00779955640487,95,0.125018050542,0.250003495741
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-621469658.248,1051429.30865,-621469658.248,-620726185.453,-622213131.042,-622138783.762,-620800532.733,2.0,1105503591090.0,0.250453720508,1.83230531396e-13,0.00782676631801,109,0.25,0.125001398296
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-624126045.745,5249618.75175,-624126045.745,-620414004.727,-627838086.763,-627466882.661,-620785208.829,2.0,27558497038700.0,0.125226860254,1.83230531396e-13,0.00782678820604,54,0.25,0.250003495741
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-652193985.963,858846.819123,-652193985.963,-651586689.553,-652801282.372,-652740552.731,-651647419.194,2.0,737617858718.0,0.249546279492,1.83230531396e-13,0.00779955640487,65,0.125018050542,0.250003495741
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-652668543.585,8521244.87166,-652668543.585,-646643113.552,-658693973.618,-658091430.615,-647245656.555,2.0,72611614162900.0,0.249546279492,1.83230531396e-13,0.0038997672965,120,0.125018050542,0.125001398296
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-698098453.307,1152286.0589,-698098453.307,-697283664.021,-698913242.593,-698831763.664,-697365142.949,2.0,1327763161540.0,0.125226860254,1.83230531396e-13,0.00782678820604,79,0.25,0.250003495741
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-709489692.652,1905834.78847,-709489692.652,-708142063.949,-710837321.355,-710702558.484,-708276826.819,2.0,3632206240950.0,0.250453720508,1.83230531396e-13,0.00391375124775,10,0.125018050542,0.124995105963
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-727242945.757,2801660.86052,-727242945.757,-725261872.364,-729224019.15,-729025911.81,-725459979.703,2.0,7849303577350.0,0.249546279492,1.83230531396e-13,0.00779955640487,90,0.125018050542,0.250003495741
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-731891854.51,8036807.05563,-731891854.51,-726208973.742,-737574735.278,-737006447.201,-726777261.819,2.0,64590267649500.0,0.250453720508,1.83230531396e-13,0.00782769951624,35,0.125018050542,0.249996504259
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-773520079.422,1075637.08598,-773520079.422,-772759489.144,-774280669.699,-774204610.672,-772835548.172,2.0,1156995140730.0,0.125226860254,1.83230531396e-13,0.003913383159,104,0.25,0.125001398296
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-807588263.747,8849053.15877,-807588263.747,-801331038.252,-813845489.243,-813219766.694,-801956760.801,2.0,78305741806800.0,0.250453720508,1.83230531396e-13,0.00782791842816,60,0.125018050542,0.250003495741
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-809016610.818,8873253.9999,-809016610.818,-802742272.744,-815290948.893,-814663515.085,-803369706.551,2.0,78734636546700.0,0.249546279492,1.83230531396e-13,0.0038997672965,115,0.125018050542,0.125001398296
