npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight,prefix,ProbabilityWeight-htse_capacity
522.0,-320.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,prairie_island,minnesota,covid,324926078.472,152467.25941300002,324991690.006,325022110.48,324698823.395,324741036.453,325019264.343,4.0,23246265192.8,0.25,0.12498620562799999,1.04066742269e-12,0.00779080681749,78,0.24933333333299998
522.0,-320.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67965.0,ref,prairie_island,minnesota,covid,318121534.81200004,198441.698782,318146969.257,318336214.856,317855985.879,317897991.093,318309470.309,4.0,39379107815.4,0.25,0.249990803752,1.04066742269e-12,0.0155827601005,83,0.24933333333299998
522.0,-320.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,135930.0,ref,prairie_island,minnesota,covid,297164630.755,122770.86361500001,297184629.77099997,297284840.184,297004423.293,297024497.922,297276764.964,4.0,15072684952.7,0.25,0.250009196248,1.04066742269e-12,0.0155839065661,88,0.24933333333299998
522.0,-320.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,203895.0,ref,prairie_island,minnesota,covid,276475285.163,236298.634998,276516254.72900003,276699433.652,276169197.542,276206173.12,276687039.814,4.0,55837044901.8,0.25,0.250009196248,1.04066742269e-12,0.0155839065661,93,0.24933333333299998
522.0,-320.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,271860.0,ref,prairie_island,minnesota,covid,255743181.88799998,559223.652712,255726131.412,256277043.765,255243420.962,255248507.57299998,256261726.868,4.0,312731093752.0,0.25,0.125004598124,1.04066742269e-12,0.007791953283060001,98,0.24933333333299998
522.0,-132.0,-3317.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,prairie_island,minnesota,covid,240721427.563,448489.110975,240674962.509,241296547.14,240239238.096,240284516.85099998,241223389.352,4.0,201142482663.0,0.125026522385,0.12498620562799999,1.04066742269e-12,0.00195853269302,105,0.125333333333
522.0,-413.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67965.0,ref,prairie_island,minnesota,covid,227343131.67,500157.04512299993,227245235.04,228037503.186,226844553.41599998,226902119.747,227921198.876,4.0,250157069786.0,0.25,0.249990803752,1.04066742269e-12,0.0155827601005,82,0.24933333333299998
522.0,-413.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,prairie_island,minnesota,covid,226388742.29,81930.25795269999,226424895.282,226438811.07099998,226266367.523,226289466.23,226437404.159,4.0,6712567168.19,0.25,0.12498620562799999,1.04066742269e-12,0.00779080681749,77,0.24933333333299998
522.0,-132.0,-3317.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67965.0,ref,prairie_island,minnesota,covid,221650513.325,326772.20730500005,221777352.04099998,221878560.275,221168788.944,221253281.60799998,221870170.841,4.0,106780075467.0,0.125026522385,0.249990803752,1.04066742269e-12,0.00391735359627,110,0.125333333333
522.0,-413.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,135930.0,ref,prairie_island,minnesota,covid,205986481.67900002,180841.821358,205947020.35799998,206237900.349,205813985.65,205829161.20400003,206199048.003,4.0,32703764352.2,0.25,0.250009196248,1.04066742269e-12,0.0155839065661,87,0.24933333333299998
522.0,-132.0,-3317.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,135930.0,ref,prairie_island,minnesota,covid,201921837.20299998,453825.68209099997,201899072.857,202496726.75,201392476.346,201460171.00599998,202415373.48299998,4.0,205957749725.0,0.125026522385,0.250009196248,1.04066742269e-12,0.00391764180651,115,0.125333333333
522.0,-413.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,203895.0,ref,prairie_island,minnesota,covid,184783084.462,160435.481203,184781003.86,184955928.64900002,184614401.477,184624817.534,184944264.232,4.0,25739543628.8,0.25,0.250009196248,1.04066742269e-12,0.0155839065661,92,0.24933333333299998
522.0,-132.0,-3317.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,203895.0,ref,prairie_island,minnesota,covid,181864810.443,358289.01033099997,181871536.893,182283720.748,181432447.23700002,181482365.901,182237837.95400003,4.0,128371014924.0,0.125026522385,0.250009196248,1.04066742269e-12,0.00391764180651,120,0.125333333333
522.0,-413.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,271860.0,ref,prairie_island,minnesota,covid,163023861.706,329547.862976,163066064.217,163380105.54799998,162583212.842,162652024.674,163336615.222,4.0,108601793992.0,0.25,0.125004598124,1.04066742269e-12,0.007791953283060001,97,0.24933333333299998
522.0,-132.0,-3317.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,271860.0,ref,prairie_island,minnesota,covid,160640213.089,460487.28068100003,160786220.51,161018732.24899998,159969679.087,160089526.378,160986489.411,4.0,212048535669.0,0.125026522385,0.125004598124,1.04066742269e-12,0.0019588209032600002,125,0.125333333333
522.0,-226.0,-3317.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,prairie_island,minnesota,covid,137724151.119,485086.4549729999,137605338.653,138358859.235,137327067.935,137332502.909,138282136.78100002,4.0,235308868798.0,0.125026522385,0.12498620562799999,1.04066742269e-12,0.00391706538603,104,0.250666666667
522.0,-507.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67965.0,ref,prairie_island,minnesota,covid,134808608.201,409375.009722,134801103.801,135305827.792,134326397.41,134381553.896,135246168.666,4.0,167587898585.0,0.25,0.249990803752,1.04066742269e-12,0.00783304518423,81,0.125333333333
522.0,-226.0,-3317.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67965.0,ref,prairie_island,minnesota,covid,128407616.35100001,623871.670162,128463116.221,129017169.435,127687063.528,127748282.86799999,128989250.016,4.0,389215860830.0,0.125026522385,0.249990803752,1.04066742269e-12,0.00783470719255,109,0.250666666667
522.0,-507.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,prairie_island,minnesota,covid,127837681.464,202356.59945,127803360.311,128087553.22799999,127656452.00700001,127661647.894,128061764.64899999,4.0,40948193341.0,0.25,0.12498620562799999,1.04066742269e-12,0.00391623444301,76,0.125333333333
522.0,-507.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,135930.0,ref,prairie_island,minnesota,covid,112445208.76,274766.573868,112437701.951,112778652.82,112126778.31799999,112160959.44700001,112739967.605,4.0,75496670115.0,0.25,0.250009196248,1.04066742269e-12,0.00783362148244,86,0.125333333333
522.0,-226.0,-3317.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,135930.0,ref,prairie_island,minnesota,covid,107136929.862,530977.714287,107117720.987,107797626.281,106514651.19399999,106589623.287,107711128.864,4.0,281937333070.0,0.125026522385,0.250009196248,1.04066742269e-12,0.00783528361303,114,0.250666666667
522.0,-507.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,203895.0,ref,prairie_island,minnesota,covid,90318658.6629,213239.017585,90341544.9182,90528949.8316,90062594.9835,90087475.5009,90517801.0675,4.0,45470878620.5,0.25,0.250009196248,1.04066742269e-12,0.00783362148244,91,0.125333333333
522.0,-226.0,-3317.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,203895.0,ref,prairie_island,minnesota,covid,85187007.8586,518803.285103,85234473.5621,85724297.9768,84554786.3336,84620836.4499,85686727.2826,4.0,269156848633.0,0.125026522385,0.250009196248,1.04066742269e-12,0.00783528361303,119,0.250666666667
522.0,-507.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,271860.0,ref,prairie_island,minnesota,covid,68068571.5828,269820.303815,67987710.8815,68457938.284,67840926.284,67858316.6827,68392031.4645,4.0,72802996350.9,0.25,0.125004598124,1.04066742269e-12,0.00391681074122,96,0.125333333333
522.0,-226.0,-3317.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,271860.0,ref,prairie_island,minnesota,covid,63307458.8241,307432.291867,63210497.8442,63745073.8774,63063765.7307,63073294.0873,63677368.9328,4.0,94514614082.8,0.125026522385,0.125004598124,1.04066742269e-12,0.00391764180651,124,0.250666666667
522.0,-320.0,-3317.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,prairie_island,minnesota,covid,36815638.0531,258895.24284499997,36828800.3598,37117100.8347,36487850.6578,36533786.8354,37079062.0412,4.0,67026746767.8,0.125026522385,0.12498620562799999,1.04066742269e-12,0.0038962299318499997,103,0.24933333333299998
522.0,-320.0,-3317.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67965.0,ref,prairie_island,minnesota,covid,32514957.8012,415451.930833,32597930.7482,32881305.8574,31982663.8511,32043761.7918,32869991.6849,4.0,172600306833.0,0.125026522385,0.249990803752,1.04066742269e-12,0.00779303321812,108,0.24933333333299998
522.0,-320.0,-3317.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,135930.0,ref,prairie_island,minnesota,covid,9740511.11393,502749.262565,9618463.47973,10387426.7612,9337690.735089999,9339041.52832,10312847.3874,4.0,252756821010.0,0.125026522385,0.250009196248,1.04066742269e-12,0.00779360657253,113,0.24933333333299998
