npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity,PointProbability
894.0,-718.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,865809880.977,3959664.47084,865809880.977,868609786.575,863009975.378,863289965.938,868329796.015,2.0,15678942721600.0,10,0.124991734973,0.00390621683414,0.25,0.125007204196,1.74117872884e-13
894.0,-894.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,853870941.657,373726.490718,853870941.657,854135206.193,853606677.121,853633103.575,854108779.739,2.0,139671489864.0,104,0.125002399524,0.00389503441102,0.124645892351,0.249985591609,1.74117872884e-13
894.0,-718.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,839083210.352,7668638.43237,839083210.352,844505756.59,833660664.114,834202918.738,843963501.966,2.0,58808015406400.0,60,0.250005865503,0.00781313356976,0.25,0.125007204196,1.74117872884e-13
894.0,-718.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,786528575.416,8017157.84604,786528575.416,792197562.094,780859588.737,781426487.405,791630663.426,2.0,64274819928300.0,85,0.250004799048,0.00781310024112,0.25,0.125007204196,1.74117872884e-13
894.0,-718.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,736518192.583,7456414.01489,736518192.583,741790673.497,731245711.67,731772959.761,741263425.405,2.0,55598109961500.0,110,0.125002399524,0.00390655012056,0.25,0.125007204196,1.74117872884e-13
894.0,-894.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,715879580.561,9032216.17997,715879580.561,722266321.871,709492839.251,710131513.382,721627647.74,2.0,81580929121600.0,30,0.249995200952,0.00389533385232,0.124645892351,0.125007204196,1.74117872884e-13
894.0,-894.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,687434970.227,6939581.61823,687434970.227,692341995.448,682527945.006,683018647.528,691851292.925,2.0,48157793036000.0,5,0.124991734973,0.00194757553204,0.124645892351,0.125007204196,1.74117872884e-13
894.0,-894.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,655069011.243,7736111.72879,655069011.243,660539268.306,649598754.179,650145779.885,659992242.6,2.0,59847424680400.0,55,0.250005865503,0.00389550002345,0.124645892351,0.125007204196,1.74117872884e-13
894.0,-894.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,601374950.524,2101678.31263,601374950.524,602861061.511,599888839.537,600037450.636,602712450.412,2.0,4417051729780.0,80,0.250004799048,0.00389548340634,0.124645892351,0.125007204196,1.74117872884e-13
894.0,-894.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,550855761.97,2136210.93173,550855761.97,552366291.206,549345232.735,549496285.658,552215238.283,2.0,4563397144850.0,105,0.125002399524,0.00194774170317,0.124645892351,0.125007204196,1.74117872884e-13
894.0,-718.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-231817038051000.0,1368969.24659,-231817038051000.0,-231817037083000.0,-231817039019000.0,-231817038922000.0,-231817037180000.0,2.0,1874076798110.0,6,0.124991734973,0.00390621683414,0.25,0.125007204196,1.74117872884e-13
