smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,PointProbability,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1027855542.38,31597063.4956,-1016538815.8,-1004505631.4,-1073838906.54,-1066188407.93,-1005366094.06,4.0,998374421545000.0,0.00195650474422,4.95258127397e-14,101,0.125226860254,0.124998488314,0.124990974078
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1057922143.31,1861122.32096,-1057435036.14,-1056342414.51,-1060476086.44,-1060120474.42,-1056405762.23,4.0,3463776293580.0,0.00391363970343,4.95258127397e-14,46,0.125226860254,0.125000566882,0.250018051845
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1058118328.89,27177246.5858,-1051784617.8,-1032794524.67,-1096109555.29,-1090217891.73,-1034885961.58,4.0,738602731987000.0,0.0155955752144,4.95258127397e-14,87,0.249546279492,0.250000944804,0.249981948155
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1124943655.96,29625588.8281,-1120185045.29,-1094426768.66,-1164977764.6,-1159036310.66,-1097513056.21,4.0,877675513409000.0,0.015652286397,4.95258127397e-14,94,0.250453720508,0.250000944804,0.249981948155
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1133001280.9,12431132.4513,-1133353419.2,-1118224123.28,-1147074161.9,-1145742744.32,-1119766823.84,4.0,154533054022000.0,0.00782727349068,4.95258127397e-14,66,0.125226860254,0.250000944804,0.250018051845
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1145638503.38,27258398.6513,-1146234739.74,-1115433378.87,-1174651155.16,-1172698562.29,-1117743713.56,4.0,743020297032000.0,0.00779772866837,4.95258127397e-14,107,0.249546279492,0.249999055196,0.124990974078
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1165776775.16,41276464.3178,-1151352344.84,-1135018185.15,-1225384225.8,-1215764262.24,-1135983490.52,4.0,1703746506580000.0,0.00782614319848,4.95258127397e-14,114,0.250453720508,0.250000944804,0.124990974078
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1212103429.68,22638592.8809,-1206512501.81,-1191627231.07,-1243761484.03,-1238949896.32,-1193084262.06,4.0,512505887628000.0,0.00779891969886,4.95258127397e-14,73,0.249546279492,0.125000566882,0.250018051845
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1217469878.53,13368989.0522,-1218093553.11,-1204519918.84,-1229172489.06,-1229121871.82,-1204944740.83,4.0,178729868278000.0,0.00782614319848,4.95258127397e-14,86,0.125226860254,0.250000944804,0.249981948155
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1240991246.69,1444023.07734,-1240483447.49,-1239959335.46,-1243038756.34,-1242729155.01,-1239964257.27,4.0,2085202647880.0,0.0155955752144,4.95258127397e-14,93,0.249546279492,0.250000944804,0.249981948155
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1307864710.74,31175414.7323,-1293721304.96,-1289551484.4,-1354464748.63,-1345666258.16,-1289863931.4,4.0,971906483733000.0,0.00391304202267,4.95258127397e-14,106,0.125226860254,0.249999055196,0.124990974078
