npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,PointProbability,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight
522.0,-132.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,262841254.348,436654.31486,262887148.387,263231070.28,262359650.339,262393291.449,263224965.593,4.0,190666990686.0,0.250009196248,1.0406674226900002e-12,120,0.125026522385,0.125333333333,0.00391764180651
522.0,-507.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,249534369.832,763386.422187,249467876.777,250531074.019,248670651.757,248789982.543,250371847.399,4.0,582758829579.0,0.125004598124,1.0406674226900002e-12,96,0.25,0.125333333333,0.00391681074122
522.0,-132.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,241801219.916,343165.278605,241905856.425,242089891.864,241303274.95,241392555.092,242063393.627,4.0,117762408440.0,0.125004598124,1.0406674226900002e-12,125,0.125026522385,0.125333333333,0.00195882090326
522.0,-226.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,237624944.057,263386.341966,237556641.051,238000222.481,237386271.646,237408493.007,237937019.316,4.0,69372365134.1,0.124986205628,1.0406674226900002e-12,104,0.125026522385,0.250666666667,0.00391706538603
522.0,-226.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,227906304.362,452259.04392,227883249.193,228471595.385,227387123.678,227445300.503,228399585.458,4.0,204538242808.0,0.249990803752,1.0406674226900002e-12,109,0.125026522385,0.250666666667,0.00783470719255
522.0,-226.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,206342638.061,288480.891518,206308185.176,206683983.679,206070198.214,206080673.641,206652836.521,4.0,83221224771.3,0.250009196248,1.0406674226900002e-12,114,0.125026522385,0.250666666667,0.00783528361303
522.0,-226.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,185322904.625,244456.687693,185243195.928,185673301.651,185131924.992,185139541.583,185617859.843,4.0,59759072158.0,0.250009196248,1.0406674226900002e-12,119,0.125026522385,0.250666666667,0.00783528361303
522.0,-226.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,163997526.178,413560.316529,164010792.809,164416565.631,163551953.462,163581289.846,164395189.226,4.0,171032135407.0,0.125004598124,1.0406674226900002e-12,124,0.125026522385,0.250666666667,0.00391764180651
522.0,-320.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,150332431.656,462446.555073,150282842.844,150941870.165,149822170.771,149883869.055,150850418.595,4.0,213856816298.0,0.124986205628,1.0406674226900002e-12,103,0.125026522385,0.249333333333,0.00389622993185
522.0,-320.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,146417907.856,617725.989464,146479850.326,147107265.37,145604665.402,145733558.698,147015537.556,4.0,381585398059.0,0.249990803752,1.0406674226900002e-12,108,0.125026522385,0.249333333333,0.00779303321812
