smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1486143212.71,551353.693448,-1486143212.71,-1485753346.77,-1486533078.64,-1486494092.05,-1485792333.36,2.0,303990895279.0,20,3.66466187075e-13,0.00389940739611,0.249546279492,0.12498986221,0.125018050542
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1486837082.05,162189.606323,-1486837082.05,-1486722396.67,-1486951767.42,-1486940298.88,-1486733865.21,2.0,26305468399.3,125,3.66466187075e-13,0.00195701244467,0.125226860254,0.125003845369,0.125018050542
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1509752091.08,55441.9485016,-1509752091.08,-1509712887.7,-1509791294.46,-1509787374.12,-1509716808.04,2.0,3073809653.65,45,3.66466187075e-13,0.00779925103585,0.249546279492,0.249993707579,0.125018050542
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1510089836.24,6385.3074802,-1510089836.24,-1510085321.14,-1510094351.33,-1510093899.82,-1510085772.65,2.0,40772151.6166,104,3.66466187075e-13,0.0039134597688,0.125226860254,0.125003845369,0.25
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1549952174.02,490680.706356,-1549952174.02,-1549605210.37,-1550299137.68,-1550264441.31,-1549639906.73,2.0,240767555590.0,70,3.66466187075e-13,0.00779964365513,0.249546279492,0.250006292421,0.125018050542
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1589782102.32,740550.286253,-1589782102.32,-1589258454.19,-1590305750.45,-1590253385.64,-1589310819.01,2.0,548414726469.0,95,3.66466187075e-13,0.00779964365513,0.249546279492,0.250006292421,0.125018050542
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1629712546.54,483504.552503,-1629712546.54,-1629370657.2,-1630054435.89,-1630020246.96,-1629404846.13,2.0,233776652292.0,120,3.66466187075e-13,0.00389984363975,0.249546279492,0.125003845369,0.125018050542
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1637844976.52,217213.809217,-1637844976.52,-1637691383.16,-1637998569.88,-1637983210.54,-1637706742.5,2.0,47181838914.5,15,3.66466187075e-13,0.00389940739611,0.249546279492,0.12498986221,0.125018050542
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1656021251.75,335885.035834,-1656021251.75,-1655783745.16,-1656258758.34,-1656235007.68,-1655807495.82,2.0,112818757297.0,40,3.66466187075e-13,0.00779925103585,0.249546279492,0.249993707579,0.125018050542
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1696400279.65,376949.361343,-1696400279.65,-1696133736.2,-1696666823.1,-1696640168.75,-1696160390.54,2.0,142090821017.0,65,3.66466187075e-13,0.00779964365513,0.249546279492,0.250006292421,0.125018050542
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1736305848.52,957105.015261,-1736305848.52,-1735629073.08,-1736982623.97,-1736914946.42,-1735696750.62,2.0,916050010237.0,90,3.66466187075e-13,0.00779964365513,0.249546279492,0.250006292421,0.125018050542
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1776196751.36,272710.318524,-1776196751.36,-1776003916.04,-1776389586.67,-1776370303.14,-1776023199.57,2.0,74370917829.2,115,3.66466187075e-13,0.00389984363975,0.249546279492,0.125003845369,0.125018050542
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1787815650.23,506825.870113,-1787815650.23,-1787457270.22,-1788174030.24,-1788138192.24,-1787493108.22,2.0,256872462616.0,10,3.66466187075e-13,0.00391358705936,0.250453720508,0.12498986221,0.125018050542
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1803159933.8,188455.359645,-1803159933.8,-1803026675.73,-1803293191.86,-1803279866.05,-1803040001.54,2.0,35515422578.9,35,3.66466187075e-13,0.00782761194871,0.250453720508,0.249993707579,0.125018050542
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1843744692.75,780568.89707,-1843744692.75,-1843192747.19,-1844296638.31,-1844241443.75,-1843247941.74,2.0,609287803073.0,60,3.66466187075e-13,0.00782800599569,0.250453720508,0.250006292421,0.125018050542
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1883943116.44,47545.490988,-1883943116.44,-1883909496.7,-1883976736.17,-1883973374.2,-1883912858.67,2.0,2260573713.29,85,3.66466187075e-13,0.00782800599569,0.250453720508,0.250006292421,0.125018050542
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1924049884.57,804028.308434,-1924049884.57,-1923481350.7,-1924618418.44,-1924561565.05,-1923538204.09,2.0,646461520763.0,110,3.66466187075e-13,0.00391402488934,0.250453720508,0.125003845369,0.125018050542
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1934824085.82,1170080.70271,-1934824085.82,-1933996713.82,-1935651457.82,-1935568720.62,-1934079451.02,2.0,1369088850860.0,5,3.66466187075e-13,0.00195679352968,0.125226860254,0.12498986221,0.125018050542
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1950785482.28,302645.20004,-1950785482.28,-1950571479.81,-1950999484.75,-1950978084.51,-1950592880.05,2.0,91594117107.1,30,3.66466187075e-13,0.00391380597435,0.125226860254,0.249993707579,0.125018050542
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1989946828.75,379745.57191,-1989946828.75,-1989678308.08,-1990215349.42,-1990188497.35,-1989705160.14,2.0,144206699385.0,55,3.66466187075e-13,0.00391400299785,0.125226860254,0.250006292421,0.125018050542
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2029745171.9,127567.944514,-2029745171.9,-2029654967.74,-2029835376.05,-2029826355.64,-2029663988.15,2.0,16273580467.5,80,3.66466187075e-13,0.00391400299785,0.125226860254,0.250006292421,0.125018050542
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2070417764.22,136612.983081,-2070417764.22,-2070321164.26,-2070514364.19,-2070504704.19,-2070330824.25,2.0,18663107146.4,105,3.66466187075e-13,0.00195701244467,0.125226860254,0.125003845369,0.125018050542
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-17455819357.8,4375.69206227,-17455819357.8,-17455816263.8,-17455822451.9,-17455822142.5,-17455816573.2,2.0,19146681.0238,1,3.66466187075e-13,0.00195679352968,0.125226860254,0.12498986221,0.125018050542
