smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,prefix,ProbabilityWeight-htse_capacity
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-230026119.125,3048809.87713,-230026119.125,-227870284.987,-232181953.264,-231966369.85,-228085868.4,2.0,9295241666890.0,0.00782656932572,1.83230531396e-13,0.249996504259,0.25,29,0.125226860254
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-247880528.604,1090919.76301,-247880528.604,-247109131.842,-248651925.366,-248574785.69,-247186271.518,2.0,1190105929320.0,0.0156535764121,1.83230531396e-13,0.250003495741,0.25,84,0.250453720508
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-256384012.39,6067341.33307,-256384012.39,-252093754.189,-260674270.59,-260245244.77,-252522780.009,2.0,36812630851900.0,0.00391318616671,1.83230531396e-13,0.124995105963,0.25,4,0.125226860254
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-263305605.835,4453260.55746,-263305605.835,-260156675.097,-266454536.574,-266139643.5,-260471568.171,2.0,19831529592600.0,0.00779955640487,1.83230531396e-13,0.250003495741,0.125018050542,70,0.249546279492
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-274402973.51,10821828.6315,-274402973.51,-266750785.1,-282055161.921,-281289943.08,-267516003.941,2.0,117111974930000.0,0.00195697413424,1.83230531396e-13,0.125001398296,0.125018050542,125,0.125226860254
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-313699770.249,3469682.82719,-313699770.249,-311246333.994,-316153206.505,-315907862.88,-311491677.619,2.0,12038698921300.0,0.00782678820604,1.83230531396e-13,0.250003495741,0.25,54,0.125226860254
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-314525690.509,839569.182506,-314525690.509,-313932025.447,-315119355.571,-315059989.065,-313991391.953,2.0,704876412214.0,0.00389957098961,1.83230531396e-13,0.124995105963,0.125018050542,15,0.249546279492
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-322735113.421,2859358.1566,-322735113.421,-320713241.878,-324756984.963,-324554797.809,-320915429.032,2.0,8175929067720.0,0.00782676631801,1.83230531396e-13,0.125001398296,0.25,109,0.250453720508
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-333732937.037,1158398.71749,-333732937.037,-332913825.448,-334552048.625,-334470137.466,-332995736.607,2.0,1341887588670.0,0.0077993382861,1.83230531396e-13,0.249996504259,0.125018050542,40,0.249546279492
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-340746124.396,2500154.07383,-340746124.396,-338978248.497,-342514000.296,-342337212.706,-339155036.087,2.0,6250770392900.0,0.00779955640487,1.83230531396e-13,0.250003495741,0.125018050542,95,0.249546279492
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-391872364.111,963599.918544,-391872364.111,-391190996.074,-392553732.147,-392485595.344,-391259132.878,2.0,928524803019.0,0.00782678820604,1.83230531396e-13,0.250003495741,0.25,79,0.125226860254
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-416550072.824,6058178.02665,-416550072.824,-412266294.06,-420833851.588,-420405473.712,-412694671.936,2.0,36701521002600.0,0.00779955640487,1.83230531396e-13,0.250003495741,0.125018050542,65,0.249546279492
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-420197962.287,5451973.05627,-420197962.287,-416342835.168,-424053089.406,-423667576.694,-416728347.88,2.0,29724010206300.0,0.0038997672965,1.83230531396e-13,0.125001398296,0.125018050542,120,0.249546279492
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-467895082.098,2933945.97648,-467895082.098,-465820469.003,-469969695.194,-469762233.885,-466027930.312,2.0,8608038992910.0,0.003913383159,1.83230531396e-13,0.125001398296,0.25,104,0.125226860254
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-476728322.224,2438898.18777,-476728322.224,-475003760.777,-478452883.671,-478280427.527,-475176216.922,2.0,5948224370310.0,0.00391375124775,1.83230531396e-13,0.124995105963,0.125018050542,10,0.250453720508
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-492651363.313,3553119.37774,-492651363.313,-490138928.507,-495163798.12,-494912554.639,-490390171.988,2.0,12624657312400.0,0.00779955640487,1.83230531396e-13,0.250003495741,0.125018050542,90,0.249546279492
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-494057466.826,3770570.19238,-494057466.826,-491391271.074,-496723662.578,-496457043.003,-491657890.649,2.0,14217199575700.0,0.00782769951624,1.83230531396e-13,0.249996504259,0.125018050542,35,0.250453720508
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-569821416.866,1401888.173,-569821416.866,-568830132.233,-570812701.5,-570713573.037,-568929260.696,2.0,1965290449590.0,0.0038997672965,1.83230531396e-13,0.125001398296,0.125018050542,115,0.249546279492
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-578644227.399,4585373.29445,-578644227.399,-575401878.849,-581886575.95,-581562341.095,-575726113.704,2.0,21025648249400.0,0.00782791842816,1.83230531396e-13,0.250003495741,0.125018050542,60,0.250453720508
